Begin Time - ss.msec	End Time - ss.msec	Infant Phonetic Transcription	Adult Utterance Direction
26423.996	26425.021	breathing	
26425.479	26425.75	breath	
26426.296	26426.508	breath	
26430.082	26430.919	breath	
26431.512	26431.599	breath	
26432.268	26432.538	breath	
26433.075	26433.484	breath	
26434.255	26434.688	breath	
26435.037	26435.545	breath	
26436.345	26436.882	breath	
26437.018	26437.459	x	
26438.51	26439.16	breathing	
26441.003	26441.156	breath	
26447.416	26447.886	breath	
26448.374	26448.904	breath	
26449.358	26450.585	breathing	
26451.31	26451.827	breath	
26453.345	26454.141	breathing	
26455.566	26456.159	breath	
26456.409	26456.857	breath	

