Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
3314.299	3317.064	cry	
3315.803	3317.058		U
3317.686	3318.811	cry	
3319.008	3319.409		T
3319.407	3320.753	cry	
3320.746	3320.938		T
3321.162	3322.346	cry	
3322.5	3323.426		T
3322.635	3324.326	cry	
3324.462	3325.882		T
3324.899	3326.068	cry	
3326.251	3327.114		T
3326.534	3328.203	cry	
3329.165	3329.964		T
3331.25	3334.419	cry	
3334.81	3336.582	cry	
3336.987	3342.899	cry	
3343.726	3345.145	cry	
3344.704	3346.883		T
3345.766	3346.869	cry	
3350.314	3351.359		T
3354.747	3358.512	x	
3360.179	3361.753	x	
3362.324	3364.507	x	
3365.102	3368.234	cry	
3369.542	3370.093	x	
3369.616	3370.087		T
3370.578	3371.821	x	
3372.152	3373.02	x	
3374.634	3375.705		N
3376.523	3376.903		N
3376.872	3378.784	cry	
3379.356	3382.702	cry	
3380.222	3380.463		N
3383.116	3387.307	cry	
3389.953	3392.284	cry	
3392.508	3394.162	cry	
3394.506	3397.167	cry	
3397.38	3400.218	cry	
3400.736	3402.846	cry	
3403.724	3407.636	cry	
3405.43	3405.622		N
3405.733	3406.382		N
3410.458	3411.414	/\ m4/	
3411.858	3413.064	/\ m2/	
3413.211	3413.968	x	
3435.129	3436.82	fuss	
3437.349	3438.834	x	
3439.341	3441.01	/4 m4 \ \/	
3441.432	3442.388	x	
3488.831	3489.397	x	
3490.93	3492.7		N
3499.252	3500.826	x	
3514.832	3515.459		T
3516.369	3517.208		T
3518.495	3519.206		T
3520.554	3522.039		T
3522.272	3522.409		T
3522.69	3522.855		T
3524.073	3524.549		N
3524.781	3525.806		N
3536.077	3537.198		T
3538.317	3539.321		N
3539.396	3539.65		N
3540.497	3542.189		N
3542.242	3543.999		N
3544.63	3545.74		N
3549.44	3549.872		N
3549.952	3550.223		N
3558.084	3559.797	fuss	
3559	3559.753		N
3560.195	3560.978		N
3561.026	3563.696	x	
3573.884	3574.259		N
3574.471	3575.049		N 
3575.421	3575.599		N
3575.713	3576.118		N
3576.664	3577.124		N
3577.246	3579.584		N
3579.604	3579.904		N
3580.674	3581.163		N
3581.494	3582.828		N
3583.074	3583.416		N
3583.669	3585.02		N
3590.071	3590.569		N
3590.688	3590.933		N
3593.209	3593.574		N
3593.618	3594.722		N
3595.878	3597.398		N
3597.877	3598.267		N
3598.857	3600.998		N
