Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
10834.093	10835.893		N
10836.293	10836.793		N
10836.3	10836.62	x	
10837.193	10838.193		N
10838.393	10839.393		N
10840.193	10841.493		N
10841.493	10842.093		N
10842.993	10846.893		N
10847.793	10848.793		N
10850.093	10850.893		N
10851.393	10852.228	x	
10851.693	10852.993		N
10854.593	10855.093		N
10855.293	10856.293		N
10856.493	10858.193		N
10858.748	10858.918	x	
10860.393	10860.793		N
10861.393	10864.893		N
10865.593	10869.493		N
10866.801	10867.866	x	
10868.876	10869.601	x	
10870.093	10872.393		N
10871.371	10871.556	x	
10873.393	10874.093		N
10882.261	10882.601	x	
10887.593	10889.593		N
10890.593	10895.593		N
10891.769	10892.529	laugh	
10894.467	10895.442	x	
10895.993	10897.493		T
10897.793	10899.793		T
10903.317	10903.467	x	
10903.693	10904.993		N
10905.293	10906.593		N
10905.47	10905.845	x	
10906.787	10907.084		N
10906.83	10906.955	x	
10907.259	10910.606		N
10910.7	10911.3		N
10911.6	10915.2		N
10914.4	10915.2	x	
10915.5	10916		N
10916.3	10918.2		N
10916.763	10918.968	fuss	
10919.1	10922.6		N
10923.2	10925.2		N
10925.338	10925.643	x	
10926.1	10930.3		N
10930.9	10932.9		N
10930.958	10931.298	x	
10933.3	10935.1		N
10935.6	10937		N
10935.726	10937.996	x	
10938.3	10939		N
10938.854	10939.144	x	
10940	10942.1		N
10942.259	10942.674	x	
10942.8	10946.7		N
10944.389	10944.684	x	
10947	10948.5		N
10948.9	10950.7		N
10951.3	10957.1		N
10957.3	10958.4		N
10959	10960.8		N
10961.3	10961.9		N
10962.7	10963.4		N
10964.2	10967		N
10967.4	10968.8		N
10969.5	10970.6		N
10971.5	10975.4		N
10975.9	10978.2		N
10978.8	10980.5		N
10979.524	10979.724	x	
10980.6	10981.2		N
10981.9	10983.2		N
10982.272	10982.422	x	
10983.7	10985		N
10986	10992		N
10992.4	10995.3		N
10996.4	10998.4		N
10998.9	11000.4		N
11001.5	11004.2		N
11004.6	11006.2		N
11006.4	11007.4		N
11007.5	11008.1		N
11009.1	11009.6		N
11009.9	11011.4		T
11011.9	11014.8		T
11015.31	11015.73	x	
11015.9	11016.6		T
11016.8	11018.7		T
11018.9	11020.3		T
11020.3	11021.6		N
11022.583	11023.684		T
11024.9	11025.7		T
11025.033	11026.158	laugh	
11026.583	11027.458	laugh	
11027.5	11028.2		T
11028.398	11028.713	x	
11028.7	11030.5		T
11029.658	11030.098	laugh	
11031.1	11034.8		T
11032.101	11032.621	laugh	
11034.599	11035.129	laugh	
11035.5	11036.3		T
11035.657	11036.127	laugh	
11036.8	11037.8		T
11037.93	11038.47	laugh	
11038.1	11038.85		T
11038.85	11041.74		T
11039.173	11039.318	laugh	
11042.23	11044.42		T
11043.688	11046.658	x	
11046.7	11049.2		T
11047.316	11048.196	laugh	
11049.2	11051.2		T
11051.714	11052.169	x	
11052.8	11054.1		T
11054.929	11055.744	laugh	
11055.8	11057.9		T
11056.429	11056.789	x	
11058.1	11060		N
11060.1	11061		T
11062	11062.6		T
11062.9	11067.3		N
11067.382	11068.897	x	
11068.6	11073.8		N
11071.407	11072.652	x	
11074.1	11075.9		N
11075.792	11077.712	x	
11077	11080.6		N
11080.105	11080.47	laugh	
11081.7	11082.565	laugh	
11082.3	11084.9		N
11085.4	11086.1		N
11086.4	11088		N
11088.4	11091.5		N
11089.615	11089.86	x	
11093.1	11096.1		N
11096.4	11097.8		N
11098.5	11099		N
11101	11104.1		N
11104.9	11107.5		N
11107.8	11111.3		N
11111.5	11116.3		N
11116.8	11118.4		N
11119.4	11121.1		N
11130.2	11130.7		T
11131.1	11133.1		N
