Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
14490.386	14490.855		N
14492.921	14493.181		N
14493	14494.42	x	
14494.159	14494.916		N
14496.45	14497.14	x	
14497.225	14497.298		N
14497.715	14498.113		N
14498.155	14498.925	/be w4/	
14499.053	14499.286		N
14499.478	14500.16		N
14500.11	14500.79	x	
14500.764	14500.902		N
14500.962	14501.098		N
14501.171	14501.605		N
14501.625	14502.469		N
14501.75	14502.37	/wq w4/	
14502.636	14502.933		N
14503.008	14503.555		T
14503.563	14504.904		N
14505.122	14506.825		N
14507.043	14507.384		N
14508.766	14510.067		N
14510.094	14510.649		N
14510.686	14511.343		N
14511.434	14511.539		N
14511.59	14512.186		N
14513.368	14513.807		N
14514.022	14515.355		N
14515.61	14516.37	x	
14520.89	14521.59	x	
14522.34	14522.73	x	
14522.457	14522.785		T
14523.745	14524.095	/w4/	
14524.509	14524.805		T
14525.119	14526.816		U
14525.12	14525.45	x	
14526.635	14527.415	/\ we/	
14527.396	14527.628		T
14528.565	14528.895	x	
14529.59	14530.06	x	
14530.485	14530.985	x	
14542.602	14543.064		N
14543.344	14543.729		N
14544.191	14544.567		N
14545.029	14545.293		N
14545.35	14545.954		N
14550.445	14550.885	x	
14553.892	14555.196		N
14556.27	14556.656		N
14562.11	14563.438		N
14564.124	14564.878		N
14566.113	14566.667		N
14566.861	14567.138		N
14572.67	14573.227		N
14573.412	14574.044		N
14582.586	14583.251		N
14583.333	14583.811		N
14585.317	14585.863		N
14590.535	14591.615	x	
14591.966	14592.368		T
14592.425	14593.245	/bq w4 w4/	
14594.355	14594.815	x	
14595.185	14596.285	/wq wq \/	
14597.585	14597.752		N
14597.789	14598.361		N
14598.94	14600.489		N
14600.515	14601.335	/\ w4 wq/	
14600.953	14601.261		N
14602.049	14602.674		T
14610.355	14611.395	x	
14611.99	14612.621		T
14612.635	14613.765	x	
14615.04	14616.3	x	
14615.341	14617.179		T
14650.903	14651.911		N
14651.96	14653.229		N
14653.817	14655.019		N
14655.069	14657.044		N
14657.138	14658.468		N
14658.806	14660.725		N
14661.29	14662.176		N
14662.948	14663.226		N
14664.425	14664.915	laugh	
14665.615	14665.871		N
14665.871	14666.988		N
14666.679	14667.255	x	
14667.442	14669.11		N
14669.253	14669.74		N
14669.868	14670.484		N
14673.968	14675.077		N
14676.397	14676.729		N
14677.859	14678.265		N
14678.336	14678.878		N
14679.646	14680.211		N
14681.738	14681.936		N
14682.148	14683.618		N
14684.25	14684.91	x	
14684.808	14685.73		N
14687.419	14689.327		N
14690.855	14691.9		N
14693.837	14695.422		N
14701.36	14701.68	laugh	
14718.25	14718.7	x	
14729.692	14730.945		T
14732.94	14734.375		N
14735.859	14736.111		N
14736.509	14739.459		N
14740.268	14740.733		N
14741.428	14741.764		N
14742.169	14744.015		N
14744.983	14745.248		N
14752.306	14752.665		N
14752.834	14753.812		N
14756.745	14757.235	x	
14763.6	14764.994		N
14765.139	14766.831		N
14771.516	14774.933		N
14772.74	14773.71	x	
14775.171	14775.97		N
