Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
14038.646	14039.469		T
14041	14041.43	x	
14041.728	14045.455		N
14048.035	14053.59		N
14053.897	14054.256		N
14054.43	14056.96	/\ \ w4/	
14058.461	14059.423		N
14061.41	14064.5		N
14065.07	14068.11	x	
14066.076	14067.332		N
14067.449	14068.116		T
14069	14069.6	x	
14069.872	14070.6		T
14070.73	14072.896		N
14073.076	14075.14		N
14075.538	14076.563		N
14077.461	14079.409		N
14077.98	14078.94	x	
14079.614	14080.666		N
14081.115	14082.397		N
14083.089	14085.461		N
14085.628	14086.064		N
14087.154	14087.525		N
14088.308	14088.859		N
14088.859	14089.904		T
14090.25	14090.79	/b4 bq/	
14090.883	14091.924		T
14092.115	14093.23		N
14093.28	14094.404		T
14094.451	14095.624		N
14095.789	14096.795		N
14096.94	14097.618		N
14098.108	14100.351		N
14100.987	14101.013		T
14101.752	14101.778		T
14102.156	14102.232		T
14102.25	14102.52	x	
14102.534	14102.592		T
14102.905	14102.941		T
14103.541	14105.168		T
14105.371	14107.388		T
14107.84	14108.542		T
14108.31	14109.03	x	
14109.154	14110.133		T
14110.789	14111.379		T
14112.348	14113.796		T
14114.527	14115.883		T
14116.956	14118.073		T
14118.64	14120.247		T
14120.99	14121.91	x	
14121.335	14121.692		T
14122.184	14123.753		T
14123.85	14124.933		N
14125.709	14126.239		N
14127.771	14130.109		N
14130.28	14131.94	x	
14132.12	14135.216		N
14133.93	14135.36	/\ we w2/	
14135.521	14136.411		N
14137.119	14137.932		N
14138.256	14138.79		N
14139.086	14139.425		N
14141.291	14141.745		N
14141.46	14142.33	/\ de]/	
14142.126	14142.632		N
14142.684	14143.688		N
14143.52	14144.13	/w4/	
14144.4	14146.112		T
14146.189	14146.401		N
14146.552	14146.808		T
14146.812	14147.057		N
14146.93	14148.06	/\ yq \ yq/	
14147.795	14148.459		N
14148.73	14149.73	/\ bi dq/	
14148.874	14149.042		N
14149.051	14149.433		N
14149.74	14149.917		N
14149.925	14150.621		N
14150.717	14152.209		N
14152.925	14154.084		N
14155.238	14155.594		N
14155.53	14160.43	/we we we wq \ \ wq \/	
14156.559	14156.992		N
14158.025	14158.721		N
14159.11	14160.44		N
14160.5	14173.4		N
14165.44	14166.78	/\ we w3]/	
14169.65	14170.93	fuss	
14174.231	14175.094		T
14175.956	14176.71		N
14178.624	14180.295		N
14182.253	14183.543		N
14183.562	14184.205		N
14186.87	14187.62	/p2 \/	
14188.9	14189.55	/dq d2/	
14190.1	14192.17	/dq dq dq dq \ \/	
14192.94	14193.85	/dq \/	
14194.64	14195.98	/\ bq \/	
14196.85	14197.81	/bq b2/	
14199.1	14199.94	/dq \/	
14202.36	14203.75	/bq bq \/	
14202.832	14203.164		N
14205.09	14206.61	/bq dq dq d8/	
14205.099	14206.365		N
14206.809	14208.01		N
14208.797	14210.063		N
14209.2	14212.56	/dq pq bq bq bq bq \/	
14211.14	14219.442		u
14219.62	14222.3	/\ mq \ m7 m2/  	
14226.79	14227.74	/\ tq/	
14230.03	14231.58	x	
14232.703	14233.385		U
14233.696	14234.673		N
14233.92	14234.56	x	
14235.71	14236.7	x	
14237.79	14240.71	/bq bq bq \ dq dq dq/	
14241.42	14242.6	/bq dq dq/	
14243.33	14243.66	x	
14244.244	14245.006		N
14244.51	14245.67	/dq \ \/	
14246.906	14247.16		T
14249.181	14249.578		N
14250.43	14251.998		N
14257.07	14257.41	x	
14257.87	14258.109		T
14259.639	14260.054		N
14260.58	14261.141		N
14261.312	14262.247		N
14262.499	14263.344		N
14263.63	14263.855		N
14264.008	14264.901		N
14265.863	14266.462		T
14268.6	14269.01	x	
14272.368	14273.029		N
14274.651	14274.855		N
14276.584	14277.331		T
14278.151	14278.969		T
14279.836	14280.654		T
14281.718	14282.5		T
14284.72	14288.12	cry	
14285.956	14286.547		T
14286.942	14287.717		T
14291.75	14293.08	x	
14293.111	14293.62		T
14293.96	14295.42	/\ we] \/	
14296.478	14296.662		T
14296.755	14296.918		T
14296.963	14297.537		T
14298.07	14299.53	/we \ \ \/	
14299.807	14300.316		T
14300.59	14301.71	x	
14302.145	14302.654		T
14304.08	14305.09	/d3] d4/  	
14305.219	14305.756		T
14306.9	14308.67	/\ \ d9] d9] \ /	
14307.305	14307.935		T
14309.512	14310.012		T
14310.62	14312.37	/\ \ do[ wq/	
14313.17	14315.11	x	
14314.406	14314.867		T
14315.638	14317.859		T
14317.18	14318.37	/\ \  k4/	
14318.299	14319.032		T
14318.713	14320.943	x	
14320.576	14321.5		T
14321.603	14323.076	/dq dq dq/	
14322.428	14324.497		T
14324.042	14325.528	x	
14325.055	14325.903		T
14327.42	14328.61	/de] d4 \/	
14329.43	14330.44	/p4 \ \ /	
