Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
7582.895	7582.974		N
7590.643	7590.943	x	
7591.573	7591.893	x	
7609.04	7609.364		T
7615.623	7615.953	x	
7628.438	7628.818	x	
7635.068	7635.478	/b4/	
7637.853	7638.613	x	
7648.673	7649.123	sneeze	
7650.698	7651.178	sneeze	
7662.908	7663.218	x	
7664.233	7664.483	x	
7665.358	7666.448	x	
7667.843	7668.513	x	
7669.118	7669.848	x	
7707.483	7708.013	burp	
7723.038	7723.318	x	
7733.338	7734.238	x	
7737.908	7738.398	x	
7739.543	7739.893	/i du/	
7741.738	7742.028	x	
7747.723	7748.793	/4 nq y2 y2/	
7749.338	7751.468	/y3[ \ \ /	
7762.043	7764.083	fuss	
7764.153	7765.533	cry	
7765.563	7766.953	cry	
7770.8	7771.83		T
7773.113	7774.049		T
7775.69	7776.099		T
7777.818	7778.148	x	
7779.173	7779.803	x	
7779.932	7780.783		T
7780.791	7781.342		N
7787.316	7788.764		N
7791.43	7794.761		N
7797.681	7799.054		N
7807.497	7809.761		N
7810.845	7811.68		N
7818.495	7818.995		N
7854.358	7854.878	x	
7861.768	7862.128	x	
