Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
2330.073	2333.71		N
2334.238	2337.368		N
2337.499	2338.236		N
2338.794	2339.614		N
2339.62	2340.09		N
2341.602	2342.647		N
2343.988	2344.484		N
2344.977	2346.64		N
2347.408	2349.165		N
2350.64	2352.813		N
2354.043	2354.869		N
2354.877	2355.555		T
2355.816	2357.18		T
2359.798	2361.503		N
2361.608	2362.276		N
2363.715	2366.712		N 
2366.717	2367.546		T
2367.623	2368.001		T
2368.788	2370.224		N
2370.046	2372.325	cry	
2374.118	2374.664		T
2377.499	2378.292	x	
2377.943	2379.724		N
2382.869	2384.862		N
2386.341	2387.245		N
2387.277	2387.649		N
2387.695	2388.241		N
2388.763	2389.79		N
2390.088	2390.296	x	
2390.929	2391.315		N
2391.4	2393.077		N
2393.152	2393.985		N
2394.457	2396.249		N
2396.32	2397.307		N
2398.537	2398.926		N
2399.249	2400.337		N
2401.733	2402.102		N
2404.969	2405.671		N
2406.964	2407.602		N
2410.57	2411.714		N
2414.291	2415.322		N
2415.365	2415.871	x	
2418.938	2420.951	x	
2424.324	2425.628		N
2425.603	2426.005	laugh	
2427.851	2428.586		T
2427.892	2428.184	x	
2428.864	2430.28	/3] \ ge/	
2429.65	2430.065		T
2430.103	2430.995		T
2431.846	2433.25		N
2435.087	2436.192		N
2436.233	2437.868		N
2445.625	2446.312		N
2446.48	2447.54		N
2447.713	2448.855		N
2448.786	2449.209	/d4/	
2449.047	2449.28		N
2451.599	2452.497		T
2453.136	2453.463		T
2453.466	2454.699	fuss	
2455.048	2456.067		T
2456.835	2457.166	x	
2457.055	2457.514		N
2457.566	2457.827		N
2458.21	2458.751		N
2466.1	2466.789		T
2466.942	2467.91		N
2470.425	2472.614	cry	
2472.482	2472.596		N
2472.909	2473.155	x	
2475.277	2475.641	x	
2475.777	2476.312		T
2487.947	2488.564		N
2491.183	2491.526		N
2493.926	2495.049	/4 b4 g8 \/	
2494.951	2495.908		T
2498.92	2499.239	/d8 \/	
2499.48	2500.291	x	
2499.72	2500.438		T
2500.496	2501.818		T
2501.861	2502.396		T
2502.9	2503.134		T
2503.223	2503.564		T
2505.125	2505.343		T
2505.595	2506.179		T
2506.511	2506.867		T
2506.933	2507.691		T
2507.812	2508.136		T
2508.239	2508.508		T
2508.888	2509.601		T
2509.777	2510.01		T
2510.174	2510.683		T
2513.57	2514.327		T
2515.032	2515.684		T
2516.31	2517.083	/e g4/	
2516.994	2517.674		T
2518.164	2518.475	x	
2518.71	2519.32		T
2519.71	2520.989	x	
2520.409	2521.138		T
2521.78	2522.738		N
2524.116	2525.56		N
2525.797	2526.682		N
2527.434	2530.317		N
2530.886	2532.66		N
2533.329	2535.741		N
2535.744	2536.347		N
2536.348	2536.956		N
2536.967	2537.922	/e] dq d8/	
2536.999	2537.332		N
2537.733	2538.06		N
2538.44	2541.161	/ \ \ \ d4/	
2538.476	2541.122		N
2541.126	2542.576		N
2541.504	2541.789	/d4/	
2542.513	2543.993	x	
2543.392	2545.467		N 
2545.26	2547.792	x	
2546.552	2548.196		N
2548.198	2550.353	x	
2548.339	2548.888		N
2549.431	2551.216		N
2551.216	2551.602		N
2551.514	2552.547	/4 d4/	
2552.427	2553.716		N
2552.854	2553.199	/d8/	
2553.793	2555.481	x	
2554.835	2556.607		T
2556.362	2557.687	/\ d4/	
2558.197	2559.249	/\ dq/	
2567.422	2573.733		N
2574.345	2577.139		N
2578.865	2579.446		N
2579.494	2579.622		N
2579.682	2580.345		N
2583.468	2584.97		N
2585.002	2586.732		N
2588.442	2590.28		N
2590.392	2590.839		N
2590.994	2591.34		N
2591.786	2591.856		N
2592.113	2593.497		N
2602.194	2602.74		N
2608.898	2611.273		N
2611.957	2613.828		N
2614.11	2621.422		N
2622.494	2623.628		N
2623.891	2625.829		N 
2625.842	2629.023		N
