Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
20737.878	20738.366	x	
20745.886	20746.212	x	
20751.939	20752.178	x	
20759.087	20759.284	x	
20773.182	20774.188	x	
20777.779	20778.139	x	
20783.363	20783.555	x	
20783.967	20784.177	x	
20786.628	20786.814	x	
20787.669	20787.873	x	
20791.441	20791.72	x	
20792.822	20793.025	x	
20796.193	20796.757	x	
20798.185	20798.557	x	
20800.624	20800.898	x	
20806.53	20806.774	x	
20808.2	20808.421	x	
20809.565	20809.757	x	
20810.564	20811.011	x	
20812.062	20812.243	x	
20812.858	20813.858		T
20817.586	20818.057	/e pq/	
20820.245	20820.577	laugh	
20823.961	20824.153	x	
20827.941	20828.226	x	
20830.264	20830.432	x	
20840.019	20840.234	x	
20844.8	20845.143	x	
20848.508	20848.875	x	
20849.62	20849.835	x	
20850.962	20851.229	x	
20859.126	20859.33	x	
20861.847	20862.533	x	
20863.775	20864.299	x	
20865.53	20865.792	x	
20868.472	20868.675	x	
20869.065	20869.303	x	
20871.165	20871.462	x	
20871.658	20872.458		T
20872.8	20873.073	x	
20874.437	20874.861	x	
20886.727	20887.024	x	
20889.545	20889.702	x	
20890.458	20892.358		T
20894.218	20894.462	x	
20895.746	20896.113	/\ b4/	
20898.646	20898.931	x	
20900.711	20901.257	x	
20902.173	20902.377	/d8/	
20903.5	20904.5		U
20904.856	20905.472	x	
20906.632	20906.789	x	
20907.955	20908.135	x	
20908.651	20909.093	fuss	
20909.961	20910.345	/m4/	
20910.924	20911.302	/\ m4/	
20917.041	20917.256	x	
20922.196	20922.452	/m4/	
20923.124	20923.281	x	
20925.173	20926.295	 /\ d4 \ d4 \/	
20927.069	20927.399	x	
20936.156	20936.473	x	
20937.867	20938.062	x	
20939.27	20939.64	x	
20941.033	20941.854	/4 d8 d8/	
20943.392	20944.388	/\ d8d1l1/ 	
20945.109	20945.482	/\ l8/	
20945.8	20947.6		T
20945.999	20946.299	x	
20957.08	20957.398	x	
21015.829	21016.129	fuss	
21017.08	21017.267	x	
21018.132	21018.427	x	
21020.811	21021.306	x	
21022.312	21022.54	x	
21023.486	21023.746	x	
21024.821	21025.083	x	
21026.564	21026.812	x	
21027.728	21028.032	x	
21029.073	21029.355	fuss	
