Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
2653.079	2653.842		N
2653.895	2655.09		N
2655.358	2655.806		N
2656.613	2657.373		N
2657.695	2658.053		N
2658.086	2658.585		N
2658.672	2658.85		N
2659.58	2660.705		N
2661.242	2661.941		N
2662.01	2662.787		N
2663.277	2664.402		N
2664.71	2667.305		N
2667.545	2668.645		N
2668.938	2670.408		N
2671.132	2672.607		N
2674.78	2675.564		N
2675.855	2676.034		N
2676.161	2676.381		U
2676.414	2676.549		N
2676.581	2677.557		U
2678.265	2678.743		U
2679.435	2679.804		T
2680.072	2680.841		T
2681.43	2682.697		T
2682.946	2683.16		T
2683.595	2684.587		T
2685.08	2685.189		N
2685.299	2685.558		N
2685.58	2686.081		N
2686.108	2686.61		N
2688.1	2688.213		T
2689.131	2689.641		T
2690.026	2690.687	/gqmi/	
2690.811	2691.551		T
2691.672	2692.058		T
2692.517	2692.915		T
2693.382	2693.563		T
2694.447	2694.708		T
2694.734	2695.067		T
2696.245	2696.482		T
2696.544	2696.79		T
2697.541	2697.82		T
2697.823	2698.093		T
2699.312	2699.737		T
2701.345	2702.101		T
2702.654	2703.34		T
2704.394	2704.827		T
2705.875	2705.935		N
2705.948	2706.479		N
2707.114	2707.952		N
2708.798	2709.423		N
2710.185	2710.608		N
2721.246	2721.543		T
2721.896	2722.295		T
2722.71	2722.897		T
2723.029	2723.255		T
2723.433	2724.76		T
2725.454	2725.747		T
2725.85	2726.632		T
2727.811	2728.691		T
2728.97	2729.364		T
2729.509	2729.883		T
2730.366	2731.189		T
2731.583	2731.99	x	
2732.055	2732.27		T
2733.352	2733.572		T
2733.927	2734.458		T
2735.429	2735.925		T
2736.889	2737.354		T
2738.16	2739.82		T
2740.585	2741.738		N
2743.355	2743.536		N
2743.831	2745.067		N
2745.501	2745.814		N
2745.881	2746.444		N
2747.226	2748.276		N
2748.551	2748.73		N
2757.199	2759.251		N
2760.453	2761.773		T
2762.046	2762.209		T
2763.749	2765.107		T
2765.6	2767.484		T
2771.029	2771.873		T
2773.709	2774.834		T
2775.638	2776.365		T
2777.548	2777.885		T
2778.201	2778.532		T
2778.715	2779.182		T
2780.14	2780.5		T
2780.568	2781.009		
2781.014	2781.971	/be] yq/	
2782.193	2782.286		T
2782.606	2782.747		T
2783.15	2783.294		T
2784.267	2784.399		T
2785.237	2785.847		T
2786.709	2787.819	x	
2786.803	2787.009		U
2788.026	2788.31		T
2789.698	2790.46		T
2791.828	2792.133		T
2792.654	2792.996		T
2794.056	2794.661		T
2794.705	2794.995		T
2795.207	2795.951		T
2796.553	2796.961		T
2798.555	2799.025		T
2799.472	2799.931		T
2800.346	2800.407		T
2801.322	2801.651		T
2804.563	2804.887		N
2806.078	2806.435		T
2806.511	2807.481		T
2806.855	2807.881	x	
2807.956	2809.348		T
2810.347	2811.265		T
2812.805	2814.568		T
2815.931	2817.041	/dq 4 \/	
2816.845	2817.195		T
2817.349	2817.852		T
2819.716	2820.776		T
2819.948	2821.372	x	
2821.541	2822.461		T
2823.769	2824.896		T
2824.942	2825.813		T
2827.247	2827.76		T
2831.735	2832.172		T
2832.328	2832.713		T
2832.774	2833.291		T
2839.114	2839.714		T
2839.884	2840.102		T
2840.155	2840.672		T
2841.144	2841.467		T
2843.783	2844.481		T
2845.977	2849.63		 T 
2850.687	2852.134		T
2852.454	2855.24		T 
2856.194	2857.319		T
2858.172	2859.579	x	
2858.927	2859.141		T
2859.453	2860.689		T
2861.544	2861.773		T
2862.71	2863.464		T
2864.519	2865.57	/q b4/	
2865.7	2866.676		T
2867.339	2867.818		T
2867.921	2869.218	x	
2868.967	2869.269		T
2871.005	2872.114		T
2872.514	2873.157		T
2875.781	2876.393		T
2877.563	2879.464		T 
2882.024	2882.987		T
2886.269	2886.828		T
2887.707	2888.292		T
2893.217	2893.472		T
2893.78	2894.506		T
2896.033	2896.947		T
2901.013	2901.734	x	
2902.295	2902.909		T
2904.59	2907.548		T
2907.637	2908.49		T
2915.718	2916.116		T
2918.787	2919.816		T
2922.921	2923.752		T
2924.199	2925.605		T
2928.805	2929.163		T
2932.692	2933.072		T
2933.224	2933.564		T
2934.462	2934.844		T
2936.138	2937.156		T
2938.593	2939.082		N
2940.909	2941.615		T
2941.997	2943.086		T
2944.679	2945.957		T
2947.778	2948.612		T
