Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
28975.205	28976.085		N
28977.021	28977.566	X	
28977.883	28978.629	X	
28982.681	28983.804		N
28988.146	28988.428	X	
28991.384	28991.641	X	
28992.815	28994.07	X	
28994.956	28995.604	X	
28998.001	28998.187	X	
28998.987	28999.132		U
29004.746	29004.83	X	
29006.899	29008.299		N
29010.965	29011.319		N
29011.889	29013.553		N
29015.836	29016.205	X	
29018.671	29018.968	X	
29019.884	29020.659	X	
29024.31	29025.484		U
29029.994	29031.465		U
29032.599	29033.769	X	
29035.121	29037.286		N
29041.347	29042.116		N
29130.599	29132.453		N
29149.415	29149.788		N
29151.947	29153.914		N
29157.739	29160.14		N
29164.597	29166.05		N
29168.965	29169.526	X	
29169.375	29170.224		N
29175.395	29177.687		N
29177.671	29178.609	X	
29198.078	29199.177	V	
29208.262	29209.007		U
29213.481	29214.372		U
29214.683	29217.051	cry	
29219.475	29220.649		N
29222.041	29223.102		N
29224.861	29226.163		N
29244.08	29244.472	X	
29248.023	29249.296		T
29251.43	29251.977		T
29253.573	29254.04	X	
29254.941	29255.214	X	
29256.745	29257.287	X	
29258.193	29259.938		N
29264.265	29264.921		N
29266.275	29267.209	X	
29268.244	29271.187		
