Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
1971.631	1974.38		U
1973.61	1974.47	x	
1975.11	1975.3	x	
1977.457	1978.709		N
1978.89	1979.54	x	
1979.873	1980.478		N
1980.63	1981.04	x	
1981.197	1984.032		N
1982.02	1984.72	/\ m4 \/	
1985.668	1986.308		N
1986.4	1987.39	fuss	
1986.718	1988.934		N
1988.98	1989.32	x	
1989.592	1991.7		N
1995.14	1996.17	fuss	
1997.132	2000.535		N
2000.535	2002.844		N
2000.55	2001.61	x	
2002.37	2002.71	x	
2003.475	2004.055	x	
2003.888	2007.164		N
2006.08	2006.86	x	
2007.164	2008.934		N
2007.85	2008.31	/m4/	
2009.2	2009.83	x	
2013.165	2013.685	x	
2015.66	2016.19	/m4/	
2016.87	2017.13	x	
2017.88	2018.26	x	
2018.79	2019.27	/m4/	
2021.551	2022.184		N
2022.241	2023.716		N
2024.062	2025.09		N
2025.726	2027.87		N
2030.195	2030.475	x	
2032.025	2037.514		N
2044.402	2049.345		N
2046.28	2046.93	x	
2047.59	2048.73	fuss	
2049.36	2049.83	/n4/	
2056.189	2057.463		N
2060.125	2062.254		N
2063.71	2064.25	x	
2063.883	2067.12		N
2065.23	2065.78	x	
2066.5	2067.08	/n4/	
2067.895	2068.585	x	
2069.09	2069.3	x	
2069.85	2070.13	x	
2070.33	2071.078		N
2070.77	2071.02	x	
2071.438	2074.431		N
2071.53	2071.8	x	
2072.46	2073.18	fuss	
2075.79	2076.897		N
2079.207	2080.272		N
2081.531	2082.631		N
2084.079	2087.69		N
2087.69	2089.273		N
2092.038	2094.484		N
2096.127	2098.084		N
2096.45	2097.39	x	
2098.34	2099.31	x	
2100.023	2101.815		N
2101.83	2102.36	x	
2102.527	2103.21		N
2103.46	2103.99	x	
2104.505	2105.455		N
2106.593	2107.543		T
2107.885	2108.315	x	
2108.804	2109.495		T
2110.23	2110.583		T
2111.14	2111.36	x	
2111.748	2112.345		T
2120.094	2121.202		N
2121.806	2123.029		N
2126.626	2127.533		N
2131.582	2134.007		N
2134.281	2135.656		N
2138.008	2139.533		N
2139.315	2139.905	x	
2139.965	2144.323		N
2140.51	2140.86	x	
2141.58	2142.49	x	
2143.05	2143.51	x	
2147.905	2148.165	fuss	
2150.725	2151.015	fuss	
2152.03	2153.17	cry	
2153.267	2154.001		N
2155.619	2156.921		N
2158.32	2159.21	x	
2158.615	2160.032		N
2163.584	2164.569		N
2170.88	2171.3	x	
2171.54	2172.84	x	
2173.61	2174.31	fuss	
2175.04	2175.48	x	
2177.73	2178.37	x	
2179.44	2179.75	x	
2180.8	2181.2	fuss	
2181.71	2182.13	x	
2182.94	2183.34	x	
2185.04	2185.46	x	
2186.26	2186.68	/4n1/	
2187.58	2188.1	x	
2188.54	2189.15	x	
2189.357	2190.846		T
2192.446	2194.209		N
2194.925	2195.695	fuss	
2200.222	2201.215		N
2204.869	2207.042		N
2208.705	2209.335	x	
2248.34	2248.59	x	
2252.26	2252.82	x	
2253.97	2254.14	breath	
2254.43	2255.14	x	
2258.761	2259.323		N
2259.876	2260.395		N
2261.026	2263.647		N
2268.566	2269.805		N
