Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
20303.5	20304.23	x	
20305.63	20306.41	/d4d1/	
20309.86	20311.36	x	
20324.85	20328.96	cry	
20340.956	20341.296		T
20341.37	20341.98	x	
20342.27	20342.913		T 
20343.49	20344.51		T
20345.08	20346.7	/\ m4 m4 m4 \/	
20346.988	20348.153		T
20388.139	20390.089		T
20392.69	20392.98	/d4/	
20393.89	20394.18	/de/	
20394.7	20394.99	/d4/	
20395.43	20395.74	/t1/	
20396.71	20397.03	/t1/	
20400.981	20401.524		N
20401.94	20402.07	x	
20402.49	20403.11	x	
20403.39	20403.76	x	
20407.395	20408.274		N
20408.395	20410.637		N
20413.306	20414.002		T
20415.19	20415.44	x	
20417.62	20418.25	fuss	
20419.51	20420.1	/d4 d4/	
20420.764	20421.005		N
20423.81	20424.32	fuss	
20427.36	20427.55	fuss	
20428.56	20430.39	cry	
20430.99	20432.16	fuss	
20432.39	20433.12	x	
20433.62	20435.17	x	
20445.4	20447.51	cry	
20447.9	20449.65	x	
20450.69	20451.22	x	
20456.01	20456.69	cough	
20457.41	20458.86	x	
20465.671	20466.181		N
20466.476	20467.188		N
20467.409	20467.886		N
20478.48	20479.09	x	
20479.81	20480.95	scream	
20481.34	20481.95	scream	
20484.27	20484.93	/d4/	
20485.51	20486.08	x	
20486.39	20487.15	x	
20487.66	20488.12	x	
20488.87	20489.64	x	
20489.82	20490.15	x	
20490.53	20491.46	x	
20492.41	20492.61	/d4/	
20494.31	20494.66	/de/	
20495.13	20495.36	/de/	
20495.71	20496.05	/de/	
20496.27	20496.65	/d4/	
20497.25	20497.59	x	
20497.85	20498.51	fuss	
20499.32	20499.73	x	
20500.44	20500.76	/d4/	
20528.92	20529.97	fuss	
20530.23	20531.17	x	
20564.05	20564.36	x	
20564.7	20565.06	x	
20565.75	20566.53	x	
