Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
30509.206	30510.173		N
30511.347	30513.9		N
30514.076	30514.801		N
30514.996	30515.781		N
30516.281	30516.727		N
30524.298	30528.903		N
30529.049	30530.406		N
30531.179	30533.591		N
30536.544	30537.83		N
30540.943	30542.2		N
30544.18	30546.51	/\ me mq \/	
30552.21	30555.84	/q be be be be bq be be be/	
30553.203	30553.975		T
30557.07	30557.94	x	
30559.22	30560.17	x	
30560.94	30561.82	x	
30562.77	30563.81	x	
30564.27	30565.45	x	
30569.142	30569.558		T
30571.4	30572.02	x	
30574.76	30578.92	/bi \ b2 bi bu \/	
30579.633	30580.024		U
30585.277	30588.538		T
30590.153	30592.175		T
30592.42	30592.626		T
30593.746	30594.505		T
30595.029	30595.794		T
30595.824	30596.68		T
30597.07	30599.12	/\ bq bq beb1 gi/	
30599.63	30601.28	x	
30602.14	30603.15	x	
30607.746	30609.241		T
30609.703	30612.01		N
30612.669	30614.116		N
30614.352	30615.6		N
30615.661	30616.216		N
30616.812	30619.118		N
30619.131	30619.446		N
30620.568	30620.782		N
30621.58	30621.732		N
30625.401	30627.082		T
30627.51	30630.97	x	
30635.597	30635.819		T
30635.827	30636.744		T
30637.956	30639.575		T
30637.97	30638.73	/m4m/	
30639.67	30640.48	x	
30640.632	30641.441		T
30643.589	30643.942		T
30643.84	30644.13	x	
30644.037	30644.833		T
30645.278	30647.146		T
30647.391	30649.896		T
30648.44	30649.58	x	
30650.59	30651.92	x	
30653.82	30654.34	x	
30654.132	30655.647		T
30655.7	30656.48	x	
30657.195	30658.593		T
30658.696	30659.322		T
30660.207	30661.726		T
30664.912	30665.513		T
30667.909	30668.403		N
30669.182	30670.056		N
30669.61	30670.68	x	
30671.24	30671.78	x	
30672.33	30673.11	x	
30673.93	30675.67	x	
30676.38	30678.09	/m4 mq mq/	
30678.7	30679.99	x	
30680.59	30681.79	x	
30682.3	30684.4	x	
30684.99	30686.06	x	
30686.74	30688.09	x	
30690.74	30691.3	x	
30692.1	30693.86	x	
30694.45	30695.9	x	
30698.03	30698.61	x	
30699.56	30704.25	x	
30705.01	30705.36	x	
30706.3	30709.58	x	
30711.19	30712.38	x	
30712.551	30717.225		T 
30716.02	30716.83	x	
30717.98	30719.34	x	
30718.468	30718.618		N
30720.18	30721.51	x	
30722.31	30724.04	x	
30724.092	30724.44		N
30725.386	30725.634		N
30725.7	30725.897		N
30726.502	30726.865		N
30727.785	30728.695		N
30729.02	30729.26	x	
30730.33	30730.56	x	
30733.07	30733.71	/b8 b2/	
30734.76	30735.19	x	
30735.66	30737.97	yell	
30738.328	30738.634		N
30741.64	30742.81	x	
30746.76	30747.52	x	
30748.85	30749.41	x	
30750.12	30750.68	x	
30752.07	30754.19	x	
30755.336	30756.451		U
30757.738	30758.268		T
30758.331	30759.1		T
30760.75	30761.92	x	
30761.485	30764.385		T
30767.657	30767.791		T
30767.864	30769.022		T
30770.005	30771.679		T
30773.508	30774.91		T 
30776.094	30776.52		T
30776.791	30778.447		T
30796.15	30798.53	x	
30799.09	30800.03	/m8m1/	
30800.49	30802.23	x	
30801.076	30802.718		T
30802.76	30803.47	x	
30804.52	30806.08	x	
30806.51	30807.08	x	
30807.45	30808.23	x	
30808.63	30809.57	x	
