Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
34943.516	34943.827		N
34944.027	34946.275		N
34945.14	34946.44	/b4 \ \ ye y4/	
34946.68	34949.2	/y4 y4 y4 ye] ye] ye] le]/	
34946.918	34948.095		T
34949.39	34953.37	/ye] ye] ye] ye] e] n4 n4 nq n4 n4/	
34949.513	34950.376		T
34950.826	34951.107		U
34951.475	34952.064		T
34953.068	34953.81		T
34953.86	34954.36	/e] y4/	
34954.296	34954.553		N
34954.553	34955.593		T
34955.35	34955.81	x	
34956.723	34957.449		T
34958.684	34959.122		T
34960.402	34961.697		T
34962.496	34963.76		T
34964.178	34965.502		T
34965.63	34966.205		T
34966.603	34967.559		T
34968.065	34969.075		T
34974.16	34975.1	x	
34977.68	34978.34	/q dq/	
34979.735	34981.605		T
34982.02	34982.89	x	
34983.635	34986.785	/\ y4 y4 \/	
34987.58	34988.25	/\ yq yq/	
34993.305	34993.887		U
34994.16	34995.08		U
34996.639	34997.201		U
35000.905	35001.895	fuss	
35004.414	35006.133		U
35004.46	35008.69	/\ \ wq wq wq/	
35009.115	35017.495	/bq bq bq be bq bq wq b4 b4 b4/	
35009.751	35010.925		N
35018.397	35019.26		N
35021.475	35022.685	cry	
35022.48	35022.851		N
35025.06	35025.98	fuss	
35026.67	35027.63	/de d4/	
35027.586	35028.589		N
35028.56	35029.37	x	
35028.94	35031.526		N
35030.645	35034.075	/e wq w4 w4/	
35033.968	35034.824		N
35037.863	35039.348		N
35039.592	35040.358		N
35040.793	35041.251		N
35043.92	35045.535		N
35048.742	35052.716		N
35052.64	35054.9	/\ w4 w4/	
35053.698	35054.05		N
35054.1	35055.173		N
35055.504	35055.969		N
35060.704	35061.948		N
35064.563	35065.855		N
35066.927	35067.216		N
35067.02	35067.35	burp	
35068.076	35069.535		N
35069.798	35071.414		N
35071.865	35073.062		N
35073.305	35077.035	cry	
35077.542	35078.485		N
35078.85	35079.42	fuss	
35079.027	35080.317		N
35080.705	35083.615	cry	
35082.424	35083.131		N
35084.064	35086.471		N
35087.138	35087.884		N
35088.175	35089.676		N
35089.78	35098.55	cry	
35090.813	35090.895		T
35091.146	35091.643		T
35095.35	35096.217		T
35099.135	35100.515	fuss	
35100.713	35103.983		T
35104.07	35106.061		T
35104.905	35105.955	x	
35106.17	35106.328		T
35106.989	35107.969		T
35108.53	35109.51	x	
35110.65	35111.16	x	
35111.46	35115.05	cry	
35115.3	35115.88	cry	
35115.99	35116.64	fuss	
35117.04	35117.75	fuss	
35118.06	35118.6	x	
35118.725	35120.875	x	
35118.881	35118.981		T
35119.789	35120.018		T
35120.145	35120.291		T
35120.765	35120.84		T
35121.719	35122.191		T
35123.09	35123.84	x	
35124.185	35124.578		T
35124.632	35124.775		T
35125.5	35126.21	x	
35126.61	35127.13		T
35129.325	35129.955	x	
35131.235	35131.885	x	
35133.085	35133.375	/d4/	
35133.881	35134.042		T
35136.166	35136.606		T
35137.949	35138.636		T
35139.24	35142.01	cry	
35142.757	35145.028		T
35145.71	35149.39	cry	
35149.75	35150.84	cry	
35151.47	35154.48	cry	
35154.87	35155.53	x	
35156.23	35156.79	x	
35157.12	35161.32	cry	
35161.51	35162.03	laugh	
35162.3	35163.1	laugh	
35163.12	35163.34	breath	
35163.42	35164.37	laugh	
35165.726	35166.653		T
35166.085	35167.495	cry	
35166.957	35167.318		T
35169.73	35170.41	cry	
35171.21	35171.75	cry	
35175.33	35175.8	fuss 	
35176.805	35181.215	cry	
35181.518	35182.708		T
35182.822	35185.902	cry	
35183.585	35185.595		T
35185.93	35186.78	breath	
35187.03	35187.43	x	
35187.118	35187.428		T
35187.66	35188.6	x	
35188.689	35189.17		T
35188.99	35189.89	cry	
35190.581	35191.374		T
35190.665	35197.705	cry	
35191.748	35192.208		T
35194.073	35194.509		T
35194.729	35195.718		T
35197.341	35197.465		T
35197.74	35198.024		T
35199.143	35199.985		T
35199.825	35206.215	cry	
35200.172	35201.081		T
35201.346	35202.337		T
35202.763	35204.204		T
35206.665	35209.875	fuss	
35206.855	35207.374		T
35210.37	35217.58	cry	
35212.787	35213.561		T
35213.991	35216.014		T
35217.602	35222.312	cry	
35221.407	35221.531		T
35222.37	35222.92	fuss	
35223.24	35223.78	fuss	
35224.272	35225.052	fuss	
35225.46	35229.545	cry	
35229.66	35231.29	cry	
35231.59	35234.36	cry	
35234.69	35237	cry	
35237.35	35239.27	cry	
35237.885	35238.532		T
35238.976	35239.62		T
