Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
11041.657	11043.086		T
11044.146	11044.373		T
11044.429	11045.672		T
11047.114	11048.671		T
11049.892	11051.336		T
11052.83	11054.205		T
11055.649	11056.626		T
11058.77	11059.45	x	
11070.671	11072.148		T
11075.643	11077.302		T
11079.09	11080.49	x	
11080.71	11088.2	laugh	
11080.745	11081.609		T
11082.812	11083.676		T
11084.81	11085.314		T
11085.924	11086.139		T
11087.065	11087.94		T
11089.176	11089.676		T
11089.645	11091.485	laugh	
11091.007	11091.996		T
11093.505	11096.345	/y3] \ d3] d3] g3] d3]/	
11094.348	11095.405		T
11096.73	11097.233		T
11097.285	11098.405	laugh	
11098.576	11099.189		T
11099.375	11103.605	/e] 8 yq yq dq/	
11100.21	11101.392		T
11102.159	11103.112		T
11103.968	11104.945		T
11105.609	11106.177		T
11106.92	11108.37	x	
11109.589	11112.81		T
11113.035	11116.325	x	
11116.402	11121.016		T
11119.76	11121.96	laugh	
11122.334	11122.428		T
11122.454	11123.169		T
11124.01	11124.43	x	
11124.743	11127.107		T
11124.99	11127.39	laugh	
11127.47	11128.09	x	
11128.72	11133.48	laugh	
11128.863	11129.69		T
11130.827	11132.168		T
11134.421	11138.541		T
11136.99	11137.8	laugh	
11139.105	11140.315	x	
11140.429	11144.588		T
11140.8	11144.62	laugh	
11144.73	11151.51	x 	
11146.713	11151.498		T
11152.3	11158.72	x	
11153.528	11157.126		T
11161.381	11162.844		T
11161.88	11164.53	x	
11162.904	11165.938		T
11164.775	11166.895	laugh	
11167.275	11168.775	x	
11173.335	11174.575	laugh	
11179.435	11180.115	x	
11183.375	11188.415	x	
11184.428	11187.71		T
11188.609	11192.515		T
11193.425	11194.665	x	
11195.335	11199.115	/y3] de I ye \/	
11196.971	11197.924		T
11198.086	11201.978		T
11200.205	11202.315	laugh	
11203.3	11207.32	laugh	
11203.522	11207.851		T
11207.779	11208.83	x	
11210.119	11214.307		T
11216.23	11218.51	x	
11218.797	11220.448		T
11219.42	11220.46	x	
11220.81	11225.2	x	
11221.1	11225.213		T
11226.032	11227.683		T
11227.683	11232.274		T
11228.03	11228.39	/pi/	
11229.47	11232.01	/jq/	
11232.827	11235.554		T
11233.57	11239.82	cry	
11236.977	11238.807		T
11240.117	11240.583		T
11241.81	11242.49	x	
11243.03	11245.17	 / \ m4 \/	
11243.054	11243.565		T
11245.886	11246.363		T
11249.64	11250.37	cry	
11250.37	11252.35	/4 m4 e] yq/	
11250.773	11251.171		T
11253.656	11253.77		T
11254.186	11254.488		T
11255.159	11255.475		T
11255.985	11256.381		T
11256.41	11258.1	x	
11257.29	11257.67		T
11257.864	11258.105		T
11258.709	11260.703		T
11261.54	11264.77	cry	
11263.193	11263.34		U
11264.465	11265.163		T
11264.77	11265.84	/w4 m4/	
11268.41	11269.44	cry	
11269.925	11270.545	/we be]/	
11270.605	11270.885		T
11271.36	11272.34	/\ m4/	
11274.4	11278.35	x	
11276.516	11276.826		T
11278.95	11279.87	x	
