Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
7379.78	7381.08	x	
7381.97	7382.76	x	
7383.145	7383.855	x	
7388.3	7389.01	x	
7390.155	7390.525	x	
7391.223	7391.908		U
7393.432	7393.698		U
7393.86	7394.21	x	
7395.045	7395.33		U
7395.215	7396.985	x	
7395.628	7396.68		U
7398.952	7399.335		U
7399.571	7400.037		U
7401.41	7401.87	x	
7403.65	7404.07	x	
7409.37	7409.86	 x	
7410.825	7411.655	fuss	
7415.16	7415.81	cry	
7417.28	7418.202		T
7418.254	7419.016		T
7418.985	7419.595	cry	
7422	7422.74	x	
7425.91	7426.94	fuss	
7428.051	7428.565		U
7428.976	7429.517		U
7429.795	7430.215	x	
7431.291	7431.6		U
7432.131	7433.312		U
7436.725	7437.185	x	
7438.17	7440.073		U
7440.399	7440.708		U
7450.705	7451.115	x	
7451.56	7452.149	x	
7452.687	7453.241	x	
7453.543	7454.009	x	
7454.84	7456.33	x	
7459.39	7460.684		T
7461.225	7462.025	/d2 d7/ 	
7461.301	7462.322		U
7463.409	7463.841		U
7464.985	7465.525	x	
7466.069	7467.273		T
7468.905	7470.405	x	
7471.035	7472.435	x	
7472.645	7473.375	x	
7475.16	7477.73	fuss	
7503.762	7504.514		U
7504.878	7505.416		U
7508.602	7509.027		U
7509.049	7509.374		U
7511.145	7511.331		U
7540.475	7541.905	x	
7542.538	7543.409		U
7543.93	7544.32	x	
7544.207	7544.401		U
7545.29	7545.972		U
7546.606	7546.846		U
7546.885	7547.255	x	
7548.115	7549.181		U
7549.803	7550.621		U
7551.83	7552.36	x	
7553.582	7554.214		U
7554.235	7554.645	 x	
7555.685	7556.075	x	
7555.759	7556.223		U
7557.603	7557.9		T
7558.091	7559.621		T
7560.902	7562.087		T
7562.07	7562.766	x	
7562.766	7563.85	x	
7567.014	7568.4		T
7569.18	7571.47	x	
7571.853	7572.647		T
7573.385	7573.905	x	
7573.42	7573.732		T
7573.987	7574.831		T
7576.618	7577.423		T
7578.405	7578.715	x	
7579.886	7580.87		T
7581.09	7581.756		T
7581.76	7582.05	x	
7583.04	7584.023		T
7585.035	7585.575	x	
7585.738	7586.843		T
7589.205	7589.725	x	
7590.02	7591.587		T
7590.605	7591.345	x	
7592.087	7592.425		T
7593.538	7594.678		T
7595.305	7595.705	x	
7595.743	7597.181		T
7597.453	7598.087		T
7598.655	7599.095	x	
7598.72	7599.409		T
7599.815	7600.295	x	
7600.816	7601.309		T
7601.325	7601.905	x	
7603.884	7604.519		T
7604.035	7604.555	x	
7605.645	7606.035	x	
7606.399	7606.772		T
7606.981	7607.454		T
7608.68	7609.24	x	
7608.728	7609.131		T
7609.295	7609.694		T
7610.09	7611.05	x	
7612.89	7614.09	x	
7614.445	7615.099		T
7615.24	7615.7	x	
7615.259	7615.468		T
7616.366	7616.596		T
7616.698	7617.891		T
7617.96	7618.25	x	
7618.265	7619.032		T
7620.644	7621.409		T
7623.195	7623.488		T
7623.84	7624.27	x	
7626.571	7628.631		T
7627.335	7627.795	x	
7628.895	7629.435	x	
7629.476	7631.014		T
7631.465	7631.995	laugh	
7632.312	7632.674		T
7632.965	7633.355	x	
7633.793	7634.628		T
7638.99	7639.32	x	
7639.891	7640.309		T
7641.185	7641.665	x	
7643.965	7644.365	x	
7644.612	7644.996		T
7645.298	7646.478		T
7646.465	7647.195	x	
7647.83	7648.77	x	
7649.035	7649.675		T
7650.02	7650.46	x	
7650.068	7651.087		T
7653.36	7653.83	x	
7653.994	7654.333		T
7654.468	7655.508		T
7656.755	7656.965	x	
7657.195	7658.096		T
7658.255	7658.635	x	
7659.111	7659.726		T
7660.495	7660.715	x	
7660.935	7662.84		T
7663.42	7664.744		T
7664.365	7665.505	cry	
7666.802	7667.542		U
7668.135	7669.085	cry	
7671.315	7671.985		U
7674.769	7675.802		U
