Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
16263.021	16263.208		U
16271.177	16272.819		N
16278.613	16278.981		N
16280.905	16281.621		N
16286.034	16286.669		N
16286.951	16287.517		N
16294.594	16294.964		N
16301.284	16301.962		N
16301.805	16302	x	
16302.098	16303.554		N
16309.185	16309.884	x	
16309.288	16310.431		U
16309.959	16310.18	breath	
16311.602	16312.447		N
16311.943	16312.199	x	
16313.898	16314.084	x	
16314.752	16315.469	/g9 3]/	
16318.715	16321.069	x	
16321.848	16322.255	x	
16329.298	16329.865	cough	
16333.167	16333.919	/gi 2 \/	
16336.453	16336.746	cough	
16382.245	16382.74	x	
16384.342	16384.687	x	
16388.542	16389.347	x	
16406.215	16407.776		U
16407.121	16407.643	laugh	
16408.325	16409.653	cry	
16410.088	16413.672	cry	
16410.443	16411.466		U
16413.21	16414.745		N
16414.843	16415.555		N
16416.106	16418.992	x	
16420.087	16421.989	x	
16423.236	16425.51	x	
16426.865	16427.909	x	
16429.25	16429.834	x	
16430.749	16432.236	x	
16433.849	16434.451	x	
16434.094	16434.971		N
16435.045	16435.832		N
16435.891	16436.457	x	
16436.161	16436.61		N
16438.49	16439.03	x	
16439.966	16440.664		N
16440.738	16441.337		N
16441.79	16442.985	x	
16444.488	16445.34		N
16444.786	16445.317	x	
16448.033	16448.732	x	
16449.933	16450.304		N
16450.981	16451.167	x	
16458.835	16459.224	x	
16459.132	16459.413		U
16459.826	16460.162	x	
16461.295	16463.684	cry	
16464.647	16465.028	/dq/	
16465.225	16466.731		N
16466.762	16468.461		N
16470.047	16470.357		N
16470.502	16470.641		N
16471.025	16471.44		U
16471.576	16471.65		U
16499.41	16500.356	cry	
16502.436	16506.038	cry	
16506.627	16506.799		U
16506.925	16509.899	cry	
16513.056	16515.366	x	
16516.782	16516.995	x	
16518.581	16519.236	x	
16521.52	16522.839	x	
16525.207	16526.783	x	
16529.203	16530.327	x	
16540.464	16541.004	x	
16549.194	16550.123	cough	
16550.524	16552.63	cry	
16554.121	16556.147	cry	
16557.147	16557.82	x	
