Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
37340.488	37342.82	/d4 d4 d4 d4/	
37343.25	37346.33	/dq dq d4 dq/	
37343.275	37343.417		T
37343.595	37343.79		T
37344.57	37345.363		N
37345.446	37345.635		N
37346.245	37346.431		N
37346.88	37348.05	/dq dq/	
37347.905	37349.931		T
37352.827	37353.761		T
37354.515	37355.805	/q 4 gq/	
37356.077	37356.843		T
37357.777	37358.666		N
37358.5	37359.62	x	
37361.107	37361.883		N
37361.86	37362.37	x	
37362.443	37362.571		N
37362.935	37363.996		N
37366.605	37366.825	x	
37367.421	37367.82		N
37367.984	37368.22		N
37368.264	37368.787		N
37369.375	37374.905	/\ \ b4 \ \ q/	
37370.085	37370.245		N
37377	37381.28	x	
37377.016	37377.504		N
37377.842	37378.543		N
37378.624	37380.895		N
37380.895	37380.897		N
37386.359	37387.65		N
37387.86	37391.45	x	
37401.785	37403.168	cough	
37403.168	37403.595	x	
37412.379	37415.749	/\ b4 b4 b4 bq bq bq q/	
37416.522	37418.092	fuss	
37418.527	37421.177	/\ \ \ \ \ yq \/	
37421.664	37422.094	fuss	
37427.45	37431.191		N 
37440.299	37440.515		N
37440.53	37441.07		N
37441.535	37443.878		N
37445.468	37447.466		N
37448.204	37448.589		N
37449.748	37451.108		N
37451.474	37454.082		N
37455.21	37455.659		N
37456.39	37458.322		N
37459.439	37459.805		N
37461.712	37463.127		N
37464.076	37464.532		N
37466.792	37467.261		N
37478.475	37479.145	/b4 bq/	
37479.692	37483.035		N
37488.575	37490.455	x	
37491.508	37491.954		N
37493.232	37494.34		N
37494.426	37494.722		N
37495.025	37495.495	x	
37497.844	37498.162		N
37498.192	37499.403		N
37499.638	37500.07		N
37500.597	37501.606		N
37501.025	37503.625	/b4 b4 b4 \ \/	
37505.1	37505.52	x	
37506.372	37506.625		T
37507.4	37507.74	x	
37507.895	37508.134		T
37508.63	37509.41	x	
37509.149	37509.354		T
37510.7	37511.13	x	
37511.327	37511.532		T
37512.32	37513.39	x	
37513.948	37514.236		T
37514.055	37514.68	x	
37515.258	37515.548	x	
37516.43	37516.76	x	
37517.49	37518.08	x	
37518.83	37519.44	x	
37519.94	37521.06	x	
37521.43	37521.97	x	
37522.24	37522.7	x	
37523.01	37523.81	x	
37533.431	37533.518		N
37533.609	37534.033		N
37537.065	37538.585	x	
37539.355	37540.695	x	
37543.275	37545.112	x	
37545.58	37546.09	x	
37546.76	37549.11	x	
37549.245	37549.928		T
37558.25	37562.952	cry	
37562.952	37566.43	cry	
37568.66	37572.08	fuss	
37573.62	37575.66	fuss	
37576.62	37580.53	cry	
37589.16	37589.91	fuss	
37590.56	37594.7	x	
37595.42	37597.23	cry	
37598.69	37599.09	x	
37600.168	37603.56	cry	
37604.59	37605.042		N
37605.264	37605.774		N
37605.56	37608.85	cry	
37606.117	37606.339		N
37609.089	37609.445		N
37609.765	37612.745	cry	
37613.715	37619.06	cry	
37613.766	37614.116		N
37619.06	37619.912	cry	
37619.912	37623.392	cry	
37623.297	37623.602		N
37623.392	37628.505	cry	
37625.819	37625.821		T
37625.821	37626.45		T
37627.752	37628.328		T
37629.948	37630.086		T
37629.98	37631.83	fuss	
37634.14	37635.73	cry	
37636.149	37636.801		T
37638.305	37638.855	x	
