Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
1663.759	1664.58	/\ m4/	
1667.889	1669.458	x	
1668.553	1669.357		T
1675.988	1677.304	x	
1679.876	1680.119		T
1681.499	1681.718		T
1681.867	1683.198	fuss	
1682.406	1682.977		T
1686.473	1688.257	cry	
1688.439	1689.626	cry	
1689.879	1691.253	cry	
1691.494	1691.929		T
1693.684	1693.821	x	
1697.469	1697.8	x	
1698.06	1698.392	x	
1703.737	1704.113		T
1705.531	1706.283	/4 dq/	
1706.364	1708.501		T
1708.478	1708.957	x	
1708.502	1709.237		T
1713.357	1714.578	x	
1714.075	1715.05		T
1728.636	1729.252	x	
1732.53	1733.467	x	
1735.726	1735.899	x	
1739.062	1740.015	cry	
1740.141	1741.71	cry	
1742.409	1743.462	cry	
1743.93	1745.167	cry	
1746.02	1746.946	x	
1747.62	1748.615	x	
1749.546	1750.925	/\ nq/	
1751.736	1752.878	/\ yq/	
1753.768	1754.815	x	
1757.12	1758.014	x	
1762.449	1762.723		N
1792.956	1794.194		N
1796.485	1797.755		N
1798.951	1799.737		N
1800.745	1801.886		U
1802.426	1802.694		N
1803.629	1803.775		N
1804.031	1804.386		N
1805.278	1806.688		N
1900.921	1901.377		N
1902.288	1904.081		N
1904.46	1905.334		N
