Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
44476.533	44479.012		N
44479.237	44479.337		N
44479.464	44479.928		N
44480.322	44481.652	laugh	
44480.465	44480.853		N
44480.942	44481.353		N
44484.572	44487.012	/\ 3] y2 \/	
44487.377	44488.792		U
44487.582	44492.612	cry	
44492.543	44493.72		U
44493.962	44494.562	/m b4/	
44494.995	44496.58		N
44496.625	44496.869		N
44496.986	44497.507		N
44497.742	44499.332	/\ mq bq bq/	
44499.593	44499.968		T
44499.932	44500.622	/mq bq/	
44500.867	44501.513		T
44501.512	44502.532	/bq b7 bq/	
44502.813	44503.391		T
44503.529	44503.689		T
44504.592	44505.632	cry	
44506.612	44506.829		T
44506.922	44508.332	cry	
44509.024	44509.73		N
44509.522	44511.382	/q \ d2 \/	
44509.844	44510.339		N
44512.972	44514.802	/\ bu bu \/	
44514.478	44514.609		N
44514.827	44515.416		N
44515.462	44517.982	x	
44515.578	44515.829		N
44518.408	44519.542		N
44519.561	44519.819		N
44519.672	44521.042	/4 b4 b4/	
44520.203	44520.4		N
44521.664	44522.484		N
44522.382	44523.488	laugh	
44523.488	44525.112	/q d4 d4/	
44525.132	44525.998		N
44525.652	44526.092	x	
44526.582	44527.652	x	
44527.419	44527.837		N
44528.114	44528.69		N
44528.837	44529.088		N
44529.317	44529.575		N
44529.762	44530.472	cry	
44530.04	44530.973		N
44532.696	44532.833		N
44533.642	44535.152	laugh	
44535.249	44536.089		N
44535.732	44537.832	/\ \ dq d8 d4/	
44540.428	44541.287		N
44542.402	44545.722	laugh	
44547.582	44547.832	x	
44548.962	44549.242	/dq/	
44550.462	44551.392	x	
44554.268	44554.379		N
44554.432	44554.606		N
44554.653	44555.171		N
44555.152	44556.162	/y3] y3] y3]/	
44555.171	44555.62		U
44556.446	44557.245		T
44556.972	44557.622	/y3] y4/	
44557.275	44559.643		T
44560.994	44561.706		T
44561.052	44563.502	laugh	
44562.277	44563.016		T
44563.188	44563.526		T
44563.633	44565.195		T
44565.152	44566.182	/g3] \/	
44567.755	44568.641		T
44568.759	44569.027		T
44569.117	44570.629		T
44569.352	44570.552	laugh	
44570.867	44572.489		T
44572.762	44573.692	x	
44578.042	44578.452	laugh	
44578.647	44579.028		T
44579.674	44579.751		T
44579.801	44579.922		T
44580.008	44580.122		T
44580.072	44581.462	/d3] di \/	
44581.241	44581.508		T
44581.635	44582.515		T
44581.672	44584.092	laugh	
44583.98	44586.348		T
44587.079	44587.945		T
44588.308	44588.465		T
44590.341	44592.963		N
44593.152	44593.642	x	
44595.269	44595.43		N
