Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
26913.245	26913.925	x	
26913.914	26915.322		T
26914.097	26914.286	snort	
26917.156	26917.351		T
26917.47	26918.931		T
26921.452	26921.653	x	
26922.079	26922.334	x	
26923.624	26923.872	x	
26924.086	26924.352		T
26924.11	26924.352	x	
26924.382	26925.181		T
26926.482	26927.192		T
26931.169	26931.323		T
26931.66	26932.211		T
26934.327	26934.978		T
26935.998	26937.122		T
26938.186	26939.429		T
26940.904	26943.383		T
26944.769	26944.923	x	
26945.396	26946.077	x	
26947.653	26948.582		T
26949.377	26949.632	x	
26950.377	26950.454	suck	
26950.774	26951.277	x	
26951.371	26952.312	x	
26951.614	26953.366		T
26952.419	26952.721	breath	
26952.851	26953.579	x	
26955.213	26955.467		T
26955.444	26955.757	x	
26956.189	26957.929	x	
26957.083	26957.225		T
26958.923	26959.367		T
26960.638	26960.786	x	
26960.833	26961.076		T
26960.946	26962.91	x	
26962.949	26963.346		T
26965.411	26966.884	x	
26967.186	26967.908	x	
26968.127	26968.925	/m4/	
26969.168	26969.979		T
26970.404	26971.54	x	
26973.64	26974.007		T
26974.22	26974.8		T
26975.037	26975.889		T
26977.433	26979.309		T
26982.503	26983.899		T
26986.802	26988.429		T
26989.811	26991.846	/b4 \ wi \/	
26992.231	26994.438		T
26997.788	26998.037		T
26997.983	26998.983	x	
26999.587	27000.664	/w3] i/	
27001.29	27002.343	x	
27002.822	27003.946	x	
27003.621	27004.236		T
27004.083	27006.118	/\ l3] gl4/	
27006.159	27006.426	x	
27006.627	27008.083	/\ \ d3] de/	
27008.141	27009.035		T
27008.713	27010.098	x	
27010.326	27011.87		T
27011.853	27014.018	/g2 gu \ \/	
27013.574	27015.474		T
27016.224	27016.484	breath	
27016.519	27016.863	x	
27016.851	27018.064		T
27017.934	27018.306	x	
27018.555	27018.851	x	
27019.674	27020.497	/\ yi/	
27020.958	27021.586		T
27021.615	27022.621		T
27024.288	27024.667		T
27025.324	27025.98	x	
27026.634	27028.835		T
27029.45	27030.817	/\ yo[ w3]/	
27031.468	27032.663		T
27033.941	27034.45		T
27036.207	27036.627		T
27039.355	27040.846		T
27043.469	27044.936		T
27050.227	27051.47	x	
27051.499	27052.896		T
27052.026	27052.712	x	
27052.908	27053.387	x	
27054.192	27055.345	x	
27055.476	27055.795	x	
27057.695	27059.103		T
27060.289	27060.514	x	
27060.508	27062.035		T
27063.549	27064.739		T
27066.123	27067.91		T
27069.415	27071.238		T
27075.165	27076.325		T
27078.35	27079.308	x	
27079.214	27079.787		T
27079.876	27080.415	/bqo/	
27081.77	27082.776	/bau/	
27083.503	27085.592		T
27088.612	27090.032		T
27093.76	27094.984		T
27097.113	27099.782		T
27098.694	27098.895	breath	
27099.026	27100.375	x	
27101.422	27102.665		T
27104.227	27104.564		T
27105.808	27106.139		T
27106.5	27106.79		T
27107.003	27108.678		T
27110.808	27111.305		T
27114.557	27115.214		T
27115.214	27115.474	x	
27115.752	27116.225	/be/	
27118.823	27119.788		T
27121.948	27123.267		T
27127.367	27127.817		T
27132.81	27134.479		T
27157.855	27159.062	breathing	
27159.269	27159.938	breathing	
27160.855	27161.968	/bq \/	
27162.033	27162.962		T
27164.904	27165.691	x	
27167.547	27167.979		T
27170.642	27171.358		T
27174.07	27175.07	x	
27175.212	27176.969		T
27179.383	27179.792		T
27181.277	27182.384		T
27183.248	27184.42		T
27186.023	27186.786		T
27188.375	27189.121		T
27191.559	27191.949		T
27191.831	27192.121	x	
27192.594	27192.991	x	
27192.6	27194.523		T
27196.328	27196.719		T
27196.825	27197.044	x	
27197.08	27197.322	snort	
27197.92	27198.21	x	
27198.636	27200.18		T
27202.813	27203.311	x	
27203.802	27204.571	x	
27204.647	27204.884	breath	
27204.866	27205.671		T
27205.21	27205.381	x	
27206.363	27207.091	x	
27207.937	27209.517	x	
27209.896	27210.659		T
27210.032	27210.369	x	
27212.044	27213.234		T
