Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
29470.02	29470.74		T
29473.01	29474.042		T
29474.127	29474.492		T
29475.529	29475.82	x	
29476.356	29476.929		T
29478.229	29478.727		T
29479.03	29479.567		T
29480.342	29480.772	x	
29481.603	29481.747		T
29481.892	29482.496		T
29482.377	29482.865	x	
29482.79	29484.398		T
29484.8	29485.463	fuss	
29485.447	29486.661		T
29486.817	29487.735	fuss	
29488.215	29489.088		T
29495.138	29495.728		N
29499.65	29500.369		N
29504.679	29506.1		N
29513.193	29514.771		N
29517.446	29518.487	fuss	
29518.541	29520.634	x	
29523.139	29523.894	cry	
29524.074	29525.144	cry	
29525.038	29525.183		T
29525.411	29525.865	x	
29526.417	29527.242	x	
29526.437	29526.61		T
29526.939	29527.627		T
29528.352	29528.817	x	
29528.682	29529.211		T
29530.558	29531	x	
29532.349	29532.831	x	
29533.369	29534.915	/\ y8 yq/	
29535.962	29536.572	/yq/	
29537.866	29538.93	fuss	
29540.084	29540.985	x	
29541.48	29543.584		T
29544.341	29545.341	x	
29545.632	29546.498	cry	
29546.678	29546.888		T
29546.832	29548.152	x	
29548.669	29548.985		T
29551.375	29551.857	x	
29551.715	29552.777		T
29553.738	29554.826	fuss	
29554.867	29555.542	cry	
29554.934	29555.791		T
29555.686	29555.995	x	
29555.985	29556.64		T
29557.02	29558.189	fuss	
29558.523	29560.767	cry	
29559.116	29559.984		T
29561.131	29562.765	fuss	
29561.804	29562.265		T
29563.032	29564.968	fuss	
29563.918	29564.442		T
29567.464	29568.4	x	
29568.504	29569.091		U
29569.246	29570.036	x	
29573.943	29574.193	x	
29574.934	29576.138	cry	
29576.507	29577.815	/i m8 \/	
29577.835	29578.452	x	
29579.3	29579.509	x	
29579.86	29580.249		T
29580.582	29580.841		T
29581.96	29582.192		N
29584.406	29584.704		T
29584.797	29585.013		T
29585.058	29585.197		T
29585.386	29586.328	x	
29587.273	29587.522		U
29587.531	29587.991	cough	
29591.515	29592.515	x	
29593.628	29594.354	/4 m8/	
29594.619	29594.973	x	
29596.923	29599.179	/4 m4 m8 m8 m8 m8 \/	
29597.879	29598.436		T
29599.133	29599.59		T
29599.621	29600.301	x	
29600.418	29602.232		T
29603.507	29603.704	cough	
29604.157	29604.401	cough	
29604.587	29605.732	x	
29604.642	29605.092		T
29605.136	29605.685		T
29605.76	29606.646		T
29607.374	29608.101	x	
29608.636	29609.176	x	
29609.193	29610.354		T
29610.429	29611.47	x	
29611.85	29612.338	x	
29612.669	29613.483	fuss	
29613.791	29614.064	x	
29616.038	29617.009	cry	
29617.04	29617.947	cry	
29618.584	29620.288	x	
29621.79	29622.285	x	
29626.966	29627.251	x	
29628.04	29629.133	x	
29629.656	29629.865	x	
29630.351	29630.607	x	
29640.484	29640.617	x	
29641.072	29641.567	x	
29641.881	29642.485	x	
29643.204	29645.053	/de b8 b8 b8 b8 bu/	
29645.671	29646.735	/b8 y4 d8 d8/	
29647.065	29648.471		N
29647.075	29647.325	x	
29648.56	29649.148		N
29649.701	29650.858		N
29651.173	29651.377	x	
29651.629	29652.193	fuss	
29652.475	29652.777	x	
29672.851	29673.432	x	
29676.943	29677.559	x	
29679.199	29679.443	x	
29680.935	29681.487	x	
29681.868	29682.606	x	
29684.748	29686.447		N
29685.656	29686.36	x	
29686.508	29687.101	x	
29686.862	29689.383		N
29687.382	29690.481	x	
29692.471	29693.006	x	
29693.645	29694.092	x	
29694.81	29695.368	laugh	
29695.565	29696.592		N
29698.363	29700.846	cry	
29705.865	29707.115	cry	
29707.697	29707.982	/g4/	
29709.502	29710.449	/bq/	
29710.827	29711.989	x	
29712.227	29713.12		T
29713.493	29714.639	/be]/	
29714.865	29715.673		T
29715.543	29716.17	x	
29716.623	29717.935		T
29718.185	29718.819	x	
29719.054	29719.854		T
29721.062	29722.279		T
29722.669	29723.367	x	
29723.702	29725.025		T
29724.147	29725.088	x	
29725.675	29726.349	x	
29726.525	29727.689		T
29728.24	29728.827	/y4/	
29729.072	29729.58		T
29729.231	29729.893	x	
29729.886	29730.517		T
29730.434	29731.091	/be]/	
29733.375	29733.753		T
29734.038	29734.986	/ba]/	
29736.669	29737.562		T
29739.759	29740.34	/b4/	
29741.074	29741.837		T
29742.536	29742.966	x	
29744.546	29745.046	/d7/	
29745.804	29746.517		T
29750.569	29751.138	/d71/	
29751.616	29752.168	/d8/	
29754.946	29756.179	/ni yi d9] y4/	
29756.854	29758.172		T
29758.776	29759.381	/g8/	
29759.691	29761.005		T
29762.232	29762.429	x	
29762.791	29763.407	/du1/	
29763.981	29764.621		T
29766.044	29766.189	x	
29768.825	29769.656	x	
29769.113	29770.17		T
