Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
24816.586	24817.689	breathing	
24818.425	24818.621	x	
24822.817	24823.097	x	
24823.475	24823.743		T
24824.71	24825.407		T
24826.397	24826.655	x	
24826.662	24827.399		T
24828.929	24829.493		T
24830.434	24834.015	cry	
24834.048	24834.971		T
24835.042	24836.262	 cry	
24836.676	24837.72		T
24839.147	24840.122		T
24841.529	24841.907		T
24842.855	24843.037	x	
24844.628	24844.896	x	
24846.397	24846.563	x	
24847.847	24848.381	x	
24848.038	24848.374		T
24850.011	24850.1	suck	
24851.491	24851.661	breath	
24853.368	24853.426	breath	
24853.559	24853.732	breath	
24853.967	24854.202	breath	
24854.321	24854.617	breath	
24855.609	24856.065	suck	
24856.166	24856.825	breath	
24857.033	24857.282	x	
24858.575	24859.326		T
24861.17	24861.674	breath	
24862.005	24862.648	breath	
24863.326	24864.06	x	
24864.666	24864.816	x	
24865.459	24865.785	x	
24865.862	24866.032	breath	
24866.168	24866.301	breath	
24866.524	24867.116		T
24868.968	24869.34		T
24869.44	24870.501		T
24870.652	24871.118	x	
24871.61	24872.256	x	
24873.008	24873.446	x	
24873.913	24874.206	x	
24875.307	24875.759		T
24876.31	24877.974		T
24877.967	24878.125	suck	
24878.391	24878.498	suck	
24879.847	24880.07		T
24880.203	24880.691		T
24881.055	24882.384	cry	
24881.111	24881.381		T
24881.896	24882.582		T
24882.628	24882.834	breath	
24882.882	24884.586	cry	
24883.821	24884.143		T
24884.728	24886.131	cry	
24885.567	24886.604		T
24886.426	24886.801	breath	
24886.871	24887.654	cry	
24888.141	24889.92	x	
24888.31	24889.31		T
24890.246	24890.547		N
24890.657	24893.324	cry	
24892.92	24894.106		T
24893.683	24893.769	x	
24894.397	24894.681	breath	
24894.73	24894.919	breath	
24894.953	24896.705	x	
24896.75	24897.088		T
24897.046	24897.838	x	
24897.966	24901.195	x	
24900.63	24902.005		T
24902.261	24902.779	x	
24903.249	24904.378		T
24905.204	24905.481		T
24905.646	24907.051		T
24907.859	24908.64		T
24909.622	24911.522	x	
24909.625	24910.198		T
24911.976	24912.671	x	
24912.202	24912.358		T
24912.966	24914.625		T
24914.897	24915.841	 x	
24915.321	24916.298		T
24917.712	24919.323		T
24920.645	24922.147		T
24920.914	24921.549	x	
24922.171	24922.948	breathing	
24926.989	24927.213	x	
24927.519	24928.952		T
24929.034	24929.432	x	
24929.943	24930.267	x	
24930.395	24930.715	x	
24931.107	24931.564	x	
24931.587	24933.802		T
24932.076	24932.413	x	
24933.409	24933.733	x	
24934.532	24935.103	x	
24937.59	24938.097		U
24939.143	24939.385	breath	
24940.494	24941.444		T
24943.138	24943.626		T
24943.635	24943.95	x	
24944.576	24944.923	x	
24947.169	24947.502	x	
24954.431	24954.855		T
24954.997	24956.22		T
24961.276	24962.121	/he]/	
24962.701	24963.126	/b3]/	
24963.33	24963.942		T
24964.164	24964.415	x	
24964.945	24965.338	/m2/	
24965.691	24965.846	x	
24966.641	24966.983	x	
24967.321	24967.59		T
24967.627	24968.645		T
24968.827	24969.96	laugh 	
24970.024	24970.321		T
24970.202	24970.581	x	
24971.08	24971.482		T
24971.634	24971.93	x	
24971.766	24973.159		T
24973.022	24973.757	x	
24974.057	24974.505		T
24974.519	24975.651		T
24976.074	24976.462		T
24976.239	24977.033	x	
24976.768	24977.746		T
24977.851	24979.134	x	
24979.481	24980.321		N
24979.627	24980.07	x	
24980.449	24980.618	x	
24985.962	24986.574		N
24995.683	24996.962		T
24998.451	24998.716		T
24998.697	24999.939	breathing	
25000.27	25000.919	breath	
25001.549	25001.837	breath	
25003.873	25004.33	breath	
25005.057	25005.646		T
25009.424	25010.15		T
25010.337	25011.383	/b2 \/	
25012.409	25013.729		T
25016.12	25016.559	breath	
25016.805	25017.198	/bq/	
25017.719	25018.7	/de1 d4/	
25018.947	25020.203		T
25019.157	25021.723	/\ do d4 \ \/	
25023.264	25023.369	x	
25024.104	25024.168	x	
25025.757	25025.94	x	
25026.679	25026.78	x	
25027.355	25027.483	breath	
25027.666	25027.757	x	
25028.468	25029.244	x	
25029.34	25029.678	x	
25029.774	25029.942	breath	
25030.025	25030.203	x	
25031.276	25031.541	x	
25031.628	25031.701	breath	
25031.76	25032.422	x	
25032.632	25032.957	x	
25032.824	25033.185		T
25033.171	25033.441	x	
25034.692	25034.902	x	
25035.139	25035.244	x	
25038.258	25038.532	breath	
25038.728	25040.231	x	
25040.29	25040.619	burp	
25040.742	25041.902		T
25042.043	25042.783	x	
25042.947	25043.116		T
25043.189	25043.482		T
25043.537	25044.089	breathing	
25044.176	25044.505	x	
25044.797	25044.993		T
25046.249	25046.445	x	
25047.869	25048.22	x	
25047.878	25048.348		T
25049.601	25050.057		T
25050.436	25051.199		N
25054.981	25056.406		T
25060.472	25060.86		T
25064.198	25066.121		T
25066.727	25071.677	/\ b3] b4/	
25066.732	25068.773		T
25071.931	25075.37	/m4 m4 m1 m4/	
25075.524	25077.063	x	
25076.492	25077.076		T
25077.14	25077.647	breath	
25077.862	25078.802	x	
25078.076	25079.464		T
25079.518	25082.139	fuss	
25082.53	25082.631	suck	
25083.083	25083.686	x	
25083.74	25083.996	breath	
25084.065	25084.53	x	
25084.133	25084.544		T
25084.867	25085.168	x	
25085.69	25087.188	x	
25086.484	25087.494		T
25087.632	25088.281		T
25088.039	25088.555	x	
25089.007	25089.308	x	
25089.4	25091.441		T
25091.808	25092.963	x	
25092.831	25093.036		T
