Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
55129.701	55131.433		N
55131.615	55133.276		N
55133.46	55134.138		N
55135.657	55138.18		N
55141.237	55141.667		N
55142.737	55143.775		N
55144.425	55144.856		N
55144.944	55145.572		N
55146.145	55146.146		N
55146.146	55146.69		N
55146.853	55148.07		N
55148.368	55148.811		N
55149.062	55149.635		N
55151.39	55152.106		N
55153.873	55156.417		N
55157.325	55157.798		N
55159.126	55160.322		N
55172.658	55173.469		N
55177.284	55179.129		N
55181.764	55182.658	x	
55184	55184.293		N
55184.435	55184.883		N
55184.692	55185.285	x	
55185.623	55185.883		N
55185.701	55186.453	x	
55186.134	55186.623		N
55186.935	55187.148	x	
55190.148	55192.211		T
55193.73	55194.471		N
55195.202	55195.795	laugh	
55196.212	55197.539	laugh	
55196.614	55198.015		N
55202.67	55203.891	x	
55213.096	55213.981	x	
55215.792	55216.615	x	
55217.584	55220.321		N
55221.354	55221.73		N
55224.537	55225.278		N
55225.57	55226.131		N
55226.169	55226.691	x	
55228.806	55229.735	/\ d3]/	
55233.296	55234.031	/d3] \/	
55235.375	55236.242	/de] \/	
55237.259	55238.241	x	
55239.314	55240.208	/d3] d2/	
55241.211	55242.105	/d3] \/	
55243.318	55243.778	/d3]/	
55250.215	55250.719	/d3]/	
55251.078	55251.352	/d8/	
55252.171	55253.33	/d3] d2/	
55256.263	55256.892	x	
55268.918	55270.575		N
55274.151	55274.419		N
55274.545	55274.95		N
55303.459	55304.174		N
55305.321	55306.445	cry	
55305.474	55305.947		N
55306.823	55312.655	cry	
55308.428	55309.047		N
55311.3	55312.079		N
55313.521	55315.102		T
55316.298	55320.935	cry	
55321.335	55321.919	hiccup	
55322.669	55326.28	cry	
55330.418	55332.834	x	
55346.788	55347.558	x	
55349.668	55351.924	cry	
55352.12	55352.873	/d4 d4/	
55353.544	55354.058	x	
55359.875	55361.68	x	
55365.324	55366.926	x	
55367.437	55367.942	x	
55369.49	55370.065	x	
55371.133	55372.363	x	
55374.173	55374.704	x	
55375.541	55377.523	x	
55375.597	55375.982		N
55378.171	55379.623	x	
55378.213	55378.472		N
55379.668	55380.362		N
55379.856	55381.652	x	
55380.98	55383.139		N
55382.153	55383.073	x	
55383.306	55385.633		U
55385.698	55387.242		N
55387.67	55388.148	x	
55388.921	55388.925		T
55388.925	55389.234		T
55389.332	55391.625		T
55391.738	55392.223		T
55392.361	55392.516		T
55392.931	55393.387		N
55393.475	55393.755		N
55393.53	55394.211	fuss	
55394.202	55394.654		T
55394.696	55396.625		T
55397.747	55398.75		T
55400.311	55400.617		T
55401.616	55402.166		T
55402.401	55402.606		T
55402.731	55403.007		T
55403.723	55404.241		T
55405.242	55405.464		T
55406.347	55406.749		T
55407.386	55408.315	/d4/	
55408.116	55409.547		T
55409.869	55410.53		T
55410.644	55411.699		T
55414.152	55415.173		U
55417.088	55418.389	x	
55418.853	55421.757		T
55422.232	55422.905		N
55422.905	55423.805		T
55424.889	55426.19		T
55424.918	55426.839	cry	
55427.206	55427.808	x	
55427.247	55428.699		T
55428.908	55430.501	x	
