Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
11561.999	11562.907		T
11562.943	11563.216		N
11563.361	11563.525		N
11563.692	11563.88		N
11563.908	11564.158		N
11564.158	11564.363		T
11564.365	11564.69		N
11565.375	11565.939		N
11565.939	11566.168		T
11566.172	11567.289		N
11567.644	11567.86		T
11568.316	11568.385		T
11568.541	11569.674		T
11569.802	11569.983		T
11570.166	11570.812		T
11571.419	11573.066		T
11573.572	11573.853		T
11575.249	11575.895		T
11577.331	11577.677	x	
11577.361	11580.646		T
11581.378	11582.003	x	
11581.779	11583.045		T
11583.699	11584.125		T
11584.458	11585.048		T
11585.817	11588.813		T
11591.55	11595.177		N
11595.892	11596.077		N
11596.37	11597.237		N
11597.42	11599.147		N
11599.385	11601.787		N
11602.425	11606.284		N
11607.265	11608.51		N
11608.939	11611.273		N
11611.546	11612.698		N
11613.299	11614.761		N
11615.006	11615.805		T
11616.391	11617.15		T
11617.223	11618.158		T
11618.494	11620.406		T
11620.54	11620.95		T
11621.888	11622.274		U
11622.587	11623.174		N
11623.427	11623.729		T
11623.821	11624.448		N
11626.066	11628.625		N
11630.785	11632.886		N
11633.337	11634.503		T
11634.804	11635.744		N
11635.104	11635.692	x	
11635.852	11641.747		N
11641.717	11642.357	x	
11644.074	11645.753		N
11646.306	11646.963		N
11648.119	11648.854		N
11648.939	11649.487		N
11654.02	11654.306	x	
11655.085	11655.637	x	
11656.207	11657.835		N
11658.007	11659.065		N
11660.07	11662.403		N
11664.794	11665.485	fuss	
11666.544	11668.964	cry	
11671.986	11673.324	x	
11674.089	11674.934	x	
11677.29	11678.032	/dq \/	
11679.765	11682.387		N 
11682.071	11684.901	cry	
11685.176	11689.107		N
11685.746	11686.761	fuss	
11687.562	11688.378	x	
11688.988	11690.392	x	
11690.763	11690.991	x	
11691.711	11693.042	cry	
11693.641	11694.089	cry	
11694.63	11695.527	cry	
11696.259	11697.252		N
11697.984	11698.984	x	
11699.675	11700.815	fuss	
11701.37	11702.628	cry	
11703.691	11703.904	x	
11704.592	11705.247	cry	
11705.87	11707.699		T
11708.16	11709.927		N
11709.994	11710.272		N
11710.358	11710.495		N
11710.522	11711.251		N 
11712.271	11714.174		N
11714.568	11716.368		N
11716.985	11719.336		N
11719.671	11720.154		N
11720.214	11723.443		N
11724.137	11727.927		N 
11727.984	11728.389		U
11728.553	11729.754		N
11729.842	11732.306		N
11733.337	11740.529		N
11740.537	11741.348		N
11741.578	11744.779		N
11745.067	11747.548		N
11747.713	11753.501		N
11751.983	11752.542	cry	
11753.563	11755.923		N
11761.097	11763.144		N
11763.102	11763.55	cry	
11763.614	11766.567		N
11767.188	11770.457		N
11770.044	11770.323	cry	
11770.576	11774.08		N
11774.165	11775.977		N
11776.916	11777.438	cry	
11777.598	11785.934		N
11785.94	11787.933	cry	
11786.531	11791.524		N
11792.715	11793.789		N
11793.883	11794.829		N
11794.853	11796.86		N
11796.967	11797.49		N
11797.926	11799.726		N
11798.914	11800.62	cry	
11800.034	11800.349		N
11800.5	11800.99		N
11801.446	11802.687		N
11803.321	11804.448		N
11804.69	11805.84		N
11806.249	11807.504		N
11807.745	11808.494		N
11807.791	11808.07	x	
11808.616	11809.321		N
11808.651	11810.504	cry	
11811.048	11811.488		N
11811.892	11813.817		N 
11814.27	11816.329		N
11816.451	11816.725		N
11817.725	11819.652	cry	
11817.755	11819.755		N
11819.798	11820.896		N
11821.163	11823.553	cry	
11823.32	11824.797		N
11823.668	11825.682	cry	
11824.802	11827.012		N
11827.339	11828.401		N
11828.399	11832.428	cry	
11829.396	11830.826		N
11831.061	11832.258		N
11832.402	11833.632		N
11832.942	11834.155	cry	
11833.89	11834.285		N
11834.311	11835.659		N
11834.349	11835.636	cry	
11836.417	11837.075		N
11836.433	11837.007	cry	
11837.423	11838.338		N
11837.958	11839.605	cry	
11839.011	11839.686		N
11839.886	11840.982	cry	
11839.915	11841		N
11841.042	11845.122		N
11843.855	11844.995	x	
11845.122	11848.218		N
11848.368	11849.252		N
11850.068	11851.418		N
11851.696	11852.51		N
11852.555	11853.299		N
11854.648	11855.301		N
11857.247	11858.164		N
11858.639	11862.164		N
