Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
57.981	59.12	fuss	
58.781	58.84		T
60.534	61.273	x	
62.109	62.815	x	
62.944	64.645	/du be \ \/	
64.765	64.932	x	
64.983	66.606	/\ m4 m4/	
66.421	67.907		N
68.245	69.325		N
70.832	73.817		N
74.424	77.397		N
78.884	79.996		N
80.191	80.643	x	
80.648	81.389	x	
81.45	82.44	/\ y4 b7/	
82.709	83.196	/m8/	
83.405	83.745	x	
84.366	84.731	x	
89.099	91.177		N
93.64	94.456		N
96.172	96.856	/ey1 g4/	
97.421	98.003	x	
97.949	98.206		N
100.651	101.546	breathing	
101.692	102.457		N
101.936	102.875	breathing	
102.941	104.056	breathing	
105.138	105.442	x	
106.91	107.262	breath	
107.45	107.832	breath	
110.775	111.343	x	
111.375	113.275	/\ d7 dy7b4 \/	
113.7	114.468		T
114.748	115.144	x	
117.039	117.357	x	
117.494	117.729	x	
117.763	117.922	x	
118.208	118.868	/wu b1/	
119.414	120.231	x	
121.275	121.759	x	
121.738	123.537		T
123.608	123.977	x	
124.689	124.989	x	
125.077	126.74	breathing	
125.202	125.803		N
126.104	126.75		N
128.524	129.529		N
132.687	133.528		T
132.694	133.975	breathing	
133.764	134.055		T
134.555	135.083		T
135.65	136.068	x	
137.111	137.583		U
137.879	139.124		T
140.124	140.603	breath	
141.935	142.536	breathing	
142.551	144.602	fuss	
145.738	146.08	x	
146.151	146.699	breathing	
146.814	147.411	fuss	
147.418	149.929	x	
150.543	151.311	x	
150.544	151.478		U
151.436	151.94	x	
152.943	153.451	x	
153.469	154.77		T
154.792	155.409	breathing	
155.751	156.5	breathing	
157.013	157.589	breathing	
157.781	158.423	breathing	
158.633	160.226	/\ d4/	
160.347	160.843	breathing	
160.921	161.498	breathing	
161.41	161.987		T
162.378	162.541	breath	
165.498	166.874		N
167.561	168.222		N
168.777	169.269		N
171.334	171.764	breath	
171.525	172.56		N
173.082	176.182	cry	
175.511	175.924		U
176.196	177.845	cry	
176.262	177.099		U
177.85	179.903		T
177.867	178.146	breathing	
178.149	178.974	cry	
178.983	179.665	cry	
179.665	182.379	cry	
182.357	182.658		T
182.379	182.646	breath	
182.646	183.211	x	
183.211	184.267	x	
184.305	185.283	x	
184.337	185.28		T
185.311	185.709	breath	
185.791	186.104	x	
186.206	187.09		T
186.425	186.996	breath	
187.112	188.519	x	
187.126	187.374		T
187.621	187.781		T
188.56	189.046	x	
188.653	189.348		T
189.391	190.215	x	
190.61	191.525		T
191.629	192.155	breathing	
192.24	192.832	breathing	
194.001	194.519	breathing	
194.904	195.481	breathing	
195.144	196.148		T
196.23	197.117	breathing	
197.289	198.317		T
198.372	199.459		T
199.753	200.55	breathing	
200.536	201.42		N
200.722	201.581	breathing	
201.47	202.178		N
202.263	202.495	x	
202.523	204.097	cry	
203.567	203.959		U
204.097	204.608	x	
204.245	204.565		T
204.694	205.12	cry	
205.121	207.343	cry	
207.384	208.838	cry	
208.219	209.777		T
208.856	209.264	breathing	
209.308	210.085	breathing	
210.37	210.689	x	
210.878	211.179	breath	
211.32	211.822	breathing	
212.54	212.713	x	
212.8	213.311		N
214.126	214.471	breathing	
214.591	214.826	breath	
215.177	215.694	breath	
215.719	216.506	breath	
217.653	219.289		N
218.737	219.289	x	
219.662	220.019	x	
220.721	222.094		T
221.41	222.36	breathing	
222.423	222.755	breath	
222.885	223.421		T
223.859	224.147		T
224.48	225.132	breathing	
226.086	226.265	x	
226.616	226.989	breath	
228.311	228.562	breath	
228.722	229.029	breath	
229.459	229.753	breath	
230.639	230.881	breath	
231.009	231.235	breath	
231.822	232.333	breath	
238.736	238.962	breath	
239.025	239.646	breath	
239.834	240.332	breath	
244.461	244.913	breath	
245.052	245.644		U
245.482	245.88	breath	
246.399	247.066		U
247.267	247.408	x	
247.433	248.571	/\ wi g1 dq \/	
248.609	248.747	x	
249.769	250.088	breath	
250.211	250.496	breath	
250.502	250.907	x	
250.96	252.882	/\ wu d1 w7 n4m/	
253.191	254.401		T
253.711	254	x	
254.366	254.778	/\ d4/	
255.047	256.012	x	
255.994	257.113		T
257.425	257.748	x	
257.78	258.265	x	
258.281	259.134	x	
259.146	259.908	x	
259.946	260.444	x	
260.576	261.548	x	
261.724	262.181	x	
262.181	263.078	/we[/	
263.116	263.495	snort	
263.598	264.272	breathing	
264.316	264.617	breath	
264.786	265.532	x	
266.346	266.447	x	
266.475	266.748	breath	
266.754	266.961	x	
267.089	267.218	x	
267.262	268.058	x	
268.064	268.704	x	
269.205	269.588	breath	
269.751	270.143	breath	
270.168	270.641	x	
271.106	271.394	x	
271.573	273.109	x	
273.162	273.372	breath	
274.234	275.645	breath	
275.828	276.452	/\ d8 d1/	
276.455	276.966	breathing	
277.12	279.487	/\ du \ du \\/	
279.644	279.942	breath	
280.083	280.525	/\ b1/	
282.111	282.431	x	
282.431	282.713	breath	
282.755	284.194	/\ d4 y7/	
284.228	285.19	x	
286.056	286.733	x	
287.622	288.067	/g4/	
288.389	288.89	x	
288.896	289.185	breath	
289.222	289.787	x	
290.564	291.323	x	
292.436	292.709	x	
292.756	293.148	x	
293.841	295.343	breathing	
295.568	296.484	x	
296.774	297.207	x	
297.564	298.094	x	
298.198	298.675	breathing	
298.919	299.969	x	
301.357	302.237	x	
302.692	303.473	breathing	
303.51	304.131	x	
304.175	304.84	breath	
304.956	306.63	breathing	
306.733	307.069	breath	
307.144	308.16	breathing	
308.293	308.904	breathing	
309.076	309.913	breathing	
309.97	310.929	breathing	
314.213	314.68	x	
314.919	315.189	x	
315.22	316.361	x	
316.377	317.11	x	
317.389	318.505	/\ du w1 \/	
318.515	318.941	breath	
319.277	319.597	x	
319.713	319.838	x	
320.057	321.177	x	
321.456	321.907	x	
322.252	322.901	x	
323.64	323.916	breath	
324.336	324.995	breathing	
325.04	325.431	breath	
326.342	326.9	x	
327.157	327.694		
327.588	328.504		T
328.37	329.096	breathing	
329.23	330.085	x	
330.213	331.012		T
331.382	331.796	x	
331.936	332.394	breathing	
332.561	333.109	x	
333.315	333.746	x	
333.701	334.209		T
334.299	334.427	x	
335.349	335.796	x	
343.807	344.148	breath	
344.159	344.83		T
344.765	345.67	breathing	
345.809	346.318	breath	
346.351	347.301	breathing	
347.586	348.915	x	
349.262	349.541	x	
350.041	350.678	/d7/	
351.164	352.002		T
352.41	352.773		T
353.152	353.789	breath	
353.761	354.113		T
354.825	355.216	breath	
355.166	355.83		T
355.968	356.605	breathing	
