Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
3367.47	3367.905		T
3368.022	3368.274		T
3368.528	3368.801	x	
3369.575	3369.885		T
3371.35	3372.392		T
3372.354	3372.713	laugh	
3373.148	3374.204		T
3373.466	3373.704	laugh	
3375.78	3376.068	cough	
3376.363	3376.885	x	
3377.119	3377.389		T
3378.03	3379.275	x	
3380.545	3382.099		T
3380.852	3381.068	x	
3384.741	3385.104		T
3388.018	3388.17		T
3388.191	3388.635		T
3406.635	3407.851	x	
3419.108	3419.403	laugh	
3421.046	3421.431		T
3433.567	3434.783	x	
3434.902	3435.132	x	
3440.289	3440.93	x	
3461.141	3461.436	/b4/	
3461.819	3462.214	x	
3462.401	3462.991	x	
3463.18	3463.432	x	
3494.472	3495.278	/dq dq/	
3495.671	3496.052	/t4/	
3496.588	3497.12	/d4/	
3499.202	3500.079	/b4 b4/	
3502.587	3503.047	laugh	
3503.16	3504.04		T
3505.436	3506.219		T
3509.778	3510.232		U
3509.851	3510.132	/b4/	
3510.287	3510.632	/p4/	
3510.872	3511.807		U
3511.838	3513.101		U
3513.372	3513.913		U
3514.029	3514.785	 /b4 p4/	
3514.839	3515.505		T
3515.654	3516.686		T 
3517.355	3518.197		T
3518.541	3519.322		T
3534.52	3536.097		T
3536.317	3536.637		T
3536.752	3537.604		T
3575.137	3575.735	cry	
3583.879	3584.181	laugh	
3587.561	3588.243		T
3597.528	3598.492	x	
3599.112	3599.436	x	
3599.699	3599.922	x	
3601.017	3601.348	x	
3601.556	3601.902	/y2/	
3603.387	3605.236		T
3606.479	3607.761	/b4 b4 p4/	
3606.893	3607.919		T
3609.074	3610.261	/b4 b4 \/	
3611.803	3613.532		T
3620.341	3620.715	/d4/	
3621.528	3622.341	x	
3625.429	3627.332	 /b4 b4 p4 b4 b4/	
3627.771	3628.361	x	
3628.333	3628.691		T
3629.567	3631.546	/b4 p4 b4 b4 b4/	
3635.771	3636.145	/d4/	
3636.448	3636.901	/d4/	
3637.264	3637.703	x	
3638.742	3639.392		T
3639.372	3639.862	/bq/	
3642.73	3643.378	/d4/	
3644.157	3645.891	/\ w4 w4 wo[/	
3647.048	3648.925	/b4 b4 b4 b4 \/	
3649.67	3650.406		T
3649.825	3650.119	/b4/	
