Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
8695.17	8695.76	/hi g2/	
8697.46	8697.75	/g2/	
8703.26	8703.52	/g2/	
8705.35	8705.66	x	
8707.34	8709.15	x	
8710.05	8710.35	x	
8712.45	8712.84	/hi k2/	
8720.17	8720.47	x	
8724.81	8725.493		T
8728.51	8729.91	x	
8732.15	8733.05	x	
8735.59	8735.89	x	
8737.34	8737.71	x	
8738.52	8738.81	x	
8739.95	8740.23	/\ig2/	
8741.92	8742.48	x	
8744.49	8744.87	x	
8752.32	8752.65	x	
8758.19	8758.79	x	
8766.02	8766.31	x	
8766.62	8766.86	x	
8767.82	8768.36	x	
8773.78	8774.23	x	
8775.76	8776	x	
8777.64	8777.98	x	
8780.86	8781.17	x	
8782.95	8783.2	x	
8783.175	8783.553		T
8783.673	8783.986		T
8784.6	8786.58	x	
8786.92	8788.24	x	
8788.37	8789.26	/hi dq/	
8790.05	8790.65	x	
8798.18	8798.48	/dq/	
8800.08	8800.32	x	
8801.51	8802.54	x	
8803.83	8805.83	/m4 m4 m4 mq mq \/	
8806.57	8806.84	x	
8807.6	8807.94	/yq/	
8814.17	8814.5	/gq/	
8816.02	8816.47	x	
8818.83	8818.98	x	
8832.19	8832.52	/g2/	
8841	8843.63	x	
8844.27	8845.76	x	
8850.18	8850.96	x	
8854.764	8855.471		N
8858.86	8859.61	/v4 vq/	
8860.35	8860.73		N
8861.28	8861.861		N
8865.15	8865.73	x	
8867.95	8868.509		N
8868.614	8868.893		N
8872.855	8873.781		N
8874.761	8876.774		N
8877.351	8878.574		N
8888.33	8889.3	x	
8899.176	8899.434		N
8904.315	8906.93		N
8915.06	8915.47	x	
8918.66	8918.91	x	
8927.87	8928.4	x	
8931.6	8932.08	x	
8934.25	8934.73	x	
8937.84	8938.88	x	
8939.88	8940.3	x	
8941.57	8944.67	laugh	
8946	8947.23	laugh	
8949.04	8950.47	laugh	
8950.67	8951.87	laugh	
8952.14	8953.7	laugh	
8954.19	8956.36	laugh	
8956.64	8957.47	laugh	
8957.5	8957.911		U
8957.91	8958.74	laugh	
8959.65	8961.38	laugh	
8962.83	8964.4	x	
8965.38	8966.34	/3] d2/	
8968.633	8969.266		N
8969.524	8970.013		N
8970.9	8971.45	x	
8971.342	8972.866		N
8977.09	8978	x	
8979.52	8979.91	x	
8980.85	8983.3	x	
8983.487	8985.583		N
8987.281	8987.888		N
8988.045	8988.866		N
8989.107	8989.33		N
8989.514	8990.653		N
