Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
29990.08	29992.673		N
29991.156	29991.569	x	
29992.639	29993.296	x	
29994.63	29995.619		N
29995.773	29996.175		N
30000.755	30002.191	x	
30002.266	30003.774		N
30003.931	30006.288		N
30020.864	30021.205		N
30021.283	30021.618		N
30025.377	30027.011	x	
30027.779	30029.069	x	
30029.047	30030.249		N
30030.238	30032.901	x	
30035.145	30041.608	x	
30045.132	30048.823	x	
30047.675	30050.434		N
30049.521	30049.697	x	
30051.058	30051.367	x	
30052.117	30052.462	x	
30054.125	30054.795		N
30054.22	30056.44	/4 wq wq \ we/	
30056.904	30058.411	/\ wu wu wu/	
30059.528	30061.086	/\ wq wq w2/	
30067.289	30068.401		N
30068.546	30070.032		N
30071.334	30071.602		N
30072.129	30072.325		N
30072.386	30072.844		N
30074.674	30076.981		N
30077.099	30077.311		N
30077.345	30079.043		N
30079.531	30081.984		N
30085.851	30090.13	 /\ yq y2 gq gq gq \ yq \ yq y2]/	
30090.911	30092.654	/yq yq yq \/	
30095.374	30097.05	x	
30095.694	30095.957		N
30101.624	30102.506	x	
30103.477	30104.793	x	
30105.778	30109.594	x	
30110.713	30113.448	x	
30113.179	30114.134		N
30114.936	30115.288		N
30115.649	30115.828		N
30116.18	30116.364		N
30121.607	30121.915		N
30122.197	30122.609	x	
30123.145	30125.653	x	
30126.115	30126.451		N
30126.263	30127.329	x	
30127.099	30127.328		N
30127.629	30128.194		N
30128.999	30130.661	x	
30130.779	30131.053		N
30132.231	30133.349		N
30135.619	30136.054		N
30135.792	30136.079	x	
30136.25	30137.362		N 
30137.094	30139.697	/w4 w4 \/	
30141.257	30141.529	x	
30142.653	30142.904		N
30142.837	30144.396	/\ \ yu/	
30145.956	30148.39	x	
30149.477	30151.315	x	
30152.366	30153.469	x	
30153.735	30155.08	x	
30154.647	30155.217		N
30156.044	30157.507		N
30157.286	30157.463	x	
30161.293	30161.47	x	
30161.911	30162.477	x	
30163.91	30164.77	x	
30165.58	30167.551	x	
30170.816	30171.832		N
30173.652	30174.747		N
30175.378	30176.629		N
30209.837	30210.425	x	
30224.065	30224.337	x	
30245.909	30246.066		N
30246.155	30246.339		N
30269.484	30270.712	/\ gq/	
30271.359	30272.396	/gq/	
30273.462	30275.609	/dq dqdi dq dq dq/	
30276.108	30277.336	/dqdi d2/	
30277.273	30279.245		U
30281.786	30282.073	x	
30285.073	30285.316	x	
30286.97	30288.389	/\ \  bq b4 bq/	
30289.447	30290.102	/v4 vu/	
