Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
44091.409	44091.677	x	
44092.591	44092.915	x	
44098.159	44099.431	x	
44101.438	44101.761	/d2/	
44102.55	44103.171	x	
44103.667	44104.216	fuss	
44107.99	44108.378	x	
44112.05	44113.267	x	
44117.846	44118.076	x	
44131.894	44132.732		U
44137.128	44137.302	x	
44150.574	44152.075		N
44156.04	44157.792		N
44159.212	44160.287		N
44163.95	44164.162	x	
44164.753	44164.912		T
44166.365	44166.684	/g2/	
44167.08	44167.328		T
44167.786	44168.063	/g2/	
44168.551	44168.84		T
44169.834	44171.03	/8 g2 yi g2/	
44171.46	44171.995		T
44172.459	44172.846	/i g2/	
44173.915	44174.775	/y3] y2/	
44175.185	44177.091		T
44178.209	44179.295		T
44185.455	44185.689	x	
44186.429	44186.624		T
44186.596	44186.753	x	
44188.411	44189.361		T
44191.197	44192.278		T
44192.651	44193.116		T
44193.219	44193.659		T
44197.955	44198.18	x	
44198.646	44200.344	x	
44201.264	44201.817	x	
44203.228	44203.433	x	
44203.914	44204.488		T
44205.195	44205.489	x	
44206.58	44207.725		T
44207.388	44207.605	x	
44209.144	44209.749		T
44210.856	44211.158	/g2/	
44212.146	44212.559	/y2/	
44212.754	44213.607		T
44214.466	44214.78	/g2/	
44215.925	44216.618		T
44220.103	44220.413	/g2/	
44220.598	44221.337		N
44222.619	44223.429		N
44224.128	44225.056		N
44225.373	44226.109		T
44237.519	44237.774	/y2	
44238.657	44238.841		T
44238.942	44239.479	x	
44239.993	44240.466	x	
44240.788	44241.116	x	
44241.293	44241.514	x	
44241.766	44242.66	fuss	
44243.195	44244.012	x	
44247.268	44248.06	x	
44248.434	44248.766	x	
44249.012	44250.289	fuss	
44250.303	44251.336		T
44253.148	44254.098		T
44255.849	44256.649	x	
44257.418	44257.566		T
44259.857	44261.023	/i me] mq mq/	
44260.755	44261.903		T
44263.056	44264.111	/mq mi \/	
44265.168	44265.9	x	
44265.747	44266.148		U
44267.188	44267.4	x	
44268.087	44269.14		T
44269.619	44269.891	x	
44283.37	44284.766		T
44285.843	44286.158	x	
44290.724	44291.422	x	
44291.308	44291.417		T
44291.82	44292.102		T
44292.579	44294.051	x	
44294.638	44294.906	x	
44295.262	44295.615	x	
44296.285	44297.715	x	
44303.253	44304.386		T
44305.539	44306.545		T
44305.925	44306.159	laugh	
44307.156	44307.521		N
44307.716	44308.033		N
44309.09	44310.58		T
44309.779	44310.234	laugh	
44312.38	44313.277		T
44312.566	44313.149	laugh	
44313.803	44314.355		U
44315.958	44316.655		N
44316.59	44317.709	x	
44316.91	44317.105		T
44318.244	44318.578		N
44318.938	44319.589	x	
44319.392	44320.915		N
44320.185	44322.317	x	
44321.69	44322.316		N
44322.555	44322.772		N
44323.067	44323.421		N
44327.82	44328.881		T
44338.215	44339.551	x	
44342.892	44345.075	fuss	
44346.086	44346.562		T
44346.676	44347.479		T
44347.332	44347.92	x	
44349.649	44350.066	x	
44350.328	44350.979	x	
44356.181	44357.645	x	
44369.442	44371.325		N
44375.193	44376.742		N
44377.862	44378.472		N
44379.285	44379.502	x	
44379.833	44381.289	x	
