Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
43429.703	43429.925		N
43430.037	43430.13		N
43430.211	43430.905		N
43430.932	43431.487		N
43432.809	43433.836		N
43434.52	43434.943		N
43435.189	43435.406		N
43436.28	43436.848		N
43438.556	43438.686		N
43439.112	43439.772		N
43440.449	43441.87		N
43442.344	43444.61		N
43444.672	43444.972		N
43445.292	43445.932		N
43446.106	43446.65		N
43447.066	43450.674		N
43451.986	43452.332		N
43452.386	43452.622		N
43453.04	43454.235		N
43454.591	43455.06		N
43455.066	43456.604		T
43456.607	43457.136		N
43457.396	43457.886		N
43458.358	43468.05		N
43468.691	43469.602		T
43469.615	43470.403		N
43470.439	43470.703		T
43470.78	43471.536		T
43471.591	43472.07		T
43472.138	43472.313		T
43472.344	43472.491		T
43472.553	43473.151		T
43473.395	43473.552		T
43473.61	43473.878		T
43473.994	43474.33		T
43474.422	43474.48		T
43478.09	43478.274		N
43478.909	43479.187		T
43481.114	43481.6		N
43481.799	43482.019		N
43482.098	43482.314		N
43482.461	43483.306		N
43483.605	43484.755	x	
43483.781	43484.602		N
43484.633	43485.407		N
43485.407	43485.408		N
43485.408	43486.04		N
43486.108	43486.864		N
43488.442	43488.685		N
43488.951	43491.506		N
43494.125	43494.823		N
43495.837	43496.092		N
43496.502	43498.382		N
43499.493	43500.194		N
43501.085	43501.604		N
43502.256	43503.261		N
43503.372	43503.845		N
43504.28	43504.974		N
43504.974	43505.674		N
43505.676	43507.912		N
43508.905	43509.6		N
43510.345	43510.72		T
43512.425	43513.42		N
43513.623	43515.084		N
43518.557	43519.259		N
43519.451	43521.059		N
43521.975	43522.814		N
43524.777	43525.289		N
43525.35	43526.05	cough	
43525.619	43526.36		N
43526.562	43527.265		N
43527.18	43527.77	cough	
43527.574	43528.307		N
43528.487	43532.49		N
43533.203	43540.231		N
43540.377	43542.249		N
43543.553	43544.636		N
43546.052	43548.769		N
43549.158	43549.725		N
43550.242	43551.264		N
43551.775	43553.072		N
43553.518	43554.324		N
43556.097	43557.331		N
43557.772	43558.591		N
43560.973	43561.959		N
43563.491	43564.921		N
43565.688	43566.233		N
43570.3	43571.625		N
43571.765	43572.362		N
43572.776	43574.323		N
43574.25	43577.14	x	
43574.578	43575.353		N
43577.855	43578.205	x	
43578.885	43580.225	x	
43579.355	43580.072		N
43580.723	43582.413	x	
43581.074	43581.519		N
43583.668	43586.962		N 
43591.097	43591.386		U
43593.814	43594.592		U
43594.877	43595.384		U
43596.856	43599.836	x	
43598.979	43599.455		N
43599.708	43600.41		N
43601.015	43601.855	x	
43601.433	43601.993		N
43602.7	43602.98	x	
43603.44	43604.88	x	
43605.267	43605.685		U
43605.94	43606.53	x	
43606.865	43608.665	x	
43608.897	43609.641		N
43609.36	43610.48	x	
43610.385	43611.858		N
43611.893	43612.423	x	
43613.181	43614.811	x	
43615.068	43615.715		N
43615.676	43617.056	x	
43618.416	43619.886	x	
43619.746	43620.317		N
43620.315	43622.145	 x	
43622.798	43623.929		T
43623.88	43624.99	/d4d1/	
43624.042	43624.594		T
43625.149	43625.692		T
43626.372	43626.514		U
43627.039	43627.223		U
43627.228	43628.119		T
43628.119	43629.598		N
43628.591	43629.711	/dq \/	
43629.777	43631.618		N
43631.43	43632.52	/d8/	
43631.708	43633.638		N
43633.616	43635.116	x	
43634.894	43637.362		N
43636.81	43637.69	/\ d2/	
43639.101	43640.251	x	
43639.135	43643.486		N
43643.505	43644.491		N
43646.716	43647.173		N
43647.381	43648.531	x	
43648.072	43648.481		N
43649.265	43650.735	x	
43649.555	43649.847		N
43650.229	43651.374		N
43651.496	43651.755		N
43651.645	43652.145	x	
43652.067	43654.22		N
43652.63	43653.33	x	
43655.051	43657.341	/dq d4 d4 d4/	
43655.114	43657.443		N
43658.676	43659.933		N
43658.68	43660.05	/dq dq/	
43660.42	43660.952		N
43661.253	43662.974		N
43661.465	43663.095	x	
43665.216	43666.386		N
43666.286	43666.706	x	
43667.413	43669.513	x	
43668.16	43669.617		N
43670.121	43671.681	x	
43673.05	43675.51	/\ \ dq \/	
43674.893	43675.372		N
43675.899	43677.326		N
43677.53	43678.37	/q dq/	
43678.056	43678.629		N
43679.359	43680.156		N
43680.015	43681.165	/\ dq/\	
43682.513	43683.323	/q dq/	
43682.604	43683.259		N
43683.318	43684.103		N
43684.797	43685.248		N
43685.103	43686.463	x	
43687.583	43688.013	x	
43688.22	43688.903		N
43688.306	43690.326	/q dq dq/	
43690.401	43692.699		N
43692.966	43693.415		N
43694.281	43695.521	x	
43696.141	43696.991	x	
43696.77	43699.575		N
43700.366	43700.878		N
43701.941	43703.861	/\ 4 d4/	
43702.233	43702.676		N
43702.887	43703.063		N
43703.285	43704.296		N
43705.001	43705.391	x	
43705.342	43705.971		N
43705.851	43706.771	x	
43707.488	43709.998	x	
43709.07	43709.7		N
43709.873	43710.159		N
43710.615	43711.045	x	
43711.78	43712.95	x	
43713.65	43715.18	/\ dq/	
43713.922	43714.835		N
43715.708	43716.039		N
43716.073	43717.203	/q d4/	
43717.375	43717.809		N
43718.009	43719.137		N
43719.906	43721.705		N
43722.083	43722.413	x	
43723.121	43726.271	x	
43723.795	43725.442		N
43726.028	43728		N
