Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
35158.002	35158.165		N
35158.165	35158.373		T
35158.424	35158.637		N
35158.837	35159.112		T
35159.94	35160.3		N
35160.479	35161.293		N
35162.352	35162.716		N
35162.867	35163.167		N
35163.745	35165.897		N
35165.275	35165.585	x	
35166.32	35166.431		N
35166.431	35167.208		T
35167.208	35167.644		N
35167.365	35167.945	laugh	
35167.644	35169.289		T
35170.308	35170.636		T
35170.965	35171.665	/g9 dq/	
35171.87	35172.732		T
35172.837	35173.459		T
35173.465	35174.175	/d4d1/	
35174.111	35175.547		T
35175.653	35176.577		T
35176.934	35178.206		T
35178.352	35179.494		N
35179.503	35179.778		T
35180.726	35181.627		T
35182.425	35182.535		T
35183.524	35183.786		T
35184.156	35185.038		T
35189.058	35190.451		N
35190.705	35191.849		N
35191.871	35192.244		N
35192.165	35192.935	x	
35192.832	35193.45		N
35193.525	35194.125	x	
35193.572	35193.765		T
35194.645	35196.335	x	
35194.732	35195.72		T
35196.601	35197.825		T
35198.147	35198.474		T
35198.656	35199.217		T
35199.947	35200.335		T
35203.019	35203.834		T
35204.081	35204.362		T
35204.43	35205.96		T
35205.97	35206.574		N
35206.574	35207.944		T
35207.976	35208.453		N
35208.593	35209.087		N
35209.386	35210.761		T
35210.808	35211.119		N
35211.122	35211.429		T
35212.678	35213.622		T
35215.391	35216.39		N
35216.576	35218.731		T
35220.14	35220.628		N
35220.761	35221.737		T
35223.545	35224.345	x	
35224.83	35225.692		T
35224.925	35228.185	x 	
35226.045	35226.515		T
35226.898	35227.842		T
35228.958	35230.306		T
35230.932	35231.202		T
35231.478	35232.496		T
35232.971	35233.434		T
35234.793	35235.73		T
35236.877	35237.796		N
35238.054	35238.196		N
35238.203	35238.848		T
35239.108	35240.313		T
35242.705	35243.732		T
35245.015	35247.205	breathing	
35246.157	35247.244		T
35249.267	35249.813		T
35251.847	35252.377		T
35252.874	35254.434		T
35254.906	35255.276		T
35256.085	35258.925	breathing	
35256.142	35256.508		T
35257.101	35258.184		T
35258.414	35258.936		T
35259.275	35259.605	x	
35259.324	35260.709		T
35264.694	35265.295		N
35265.515	35266.72		T
35268.872	35269.328		N
35269.497	35270.366		N
35269.835	35270.355	laugh	
35270.653	35271.021		T
35272.527	35273.223		T
35280.978	35281.158		T
35281.277	35281.675		T
35284.612	35285.019		T
35285.335	35285.811		T
35290.659	35290.902		T
35291.359	35292.222		N
35292.366	35294.079		N
35294.16	35294.554		N
35313.545	35314.335	/\ de/ 	
35315.113	35316.245		T
35317.515	35318.565	x	
35320.124	35320.34		T
35326.175	35326.665	x	
35327.295	35329.025	x	
35328.277	35328.897		T
35329.465	35330.675	x	
35330.935	35335.725	breathing	
35330.941	35331.676		T
35331.984	35332.979		T
35334.625	35335.672		T
35336.039	35336.258		N
35337.405	35338.445	/mqmq/	
35338.632	35339.435		T
35340.295	35341.265	fuss	
35341.468	35343.625		T
35345.274	35345.443		N
35345.385	35346.185	x	
35345.909	35346.517		N
35346.565	35347.095	x	
35346.801	35346.925		T
35347.415	35347.845	x	
35348.748	35348.911		T
35349.114	35351.036		T
35349.345	35350.015	x	
35350.345	35351.595	x	
35352.025	35353.395	x	
35352.105	35352.679		T
35353.695	35355.103		T
35355.455	35356.475	x	
35356.975	35358.065	x	
35358.595	35359.825	x	
35360.245	35361.705	x	
35362.255	35364.645		T
35362.705	35363.975	breathing 	
35366.645	35367.785	x	
35368.275	35369.115	x	
35369.435	35370.465	x	
35369.759	35370.646		T
35371.08	35371.89		T
35372.085	35373.665	x	
35372.614	35373.722		T
35375.969	35377.823		N 
35378.205	35378.935	x	
35379.157	35379.409		N
35380.205	35382.195	x	
35381.098	35381.649		T
35382.585	35390.315	breathing	
35391.255	35392.095	breathing	
35392.387	35392.54		T
35392.573	35393.598		T
35396.965	35397.425	x	
35398.395	35399.005	x	
35399.915	35400.735	x	
35401.695	35402.025	x	
35402.442	35403.158		T
35402.455	35402.755	x	
35408.335	35409.665	x	
35409.17	35409.735		T
35411.437	35412.142		T
35413.629	35414.145		T
35414.105	35414.905	x	
35415.552	35416.392		T
35421.009	35421.973		T
35422.005	35423.715	x	
35422.993	35425.471		T
35424.295	35425.225	x	
35426.839	35427.842		T
35427.475	35428.675	x	
35428.888	35430.695		T
35429.045	35431.145	x	
35431.567	35431.94		T
35432.422	35433.054		T
35433.595	35435.115	breathing	
35434.683	35435.095		T
35435.705	35436.755	x	
35436.365	35438.01		T
35439.477	35441.213		T
35441.213	35441.23		T
35442.225	35443.038		T
35444.087	35445.725		T
35449.035	35450.565	x	
35450.102	35450.885		T
35451.415	35454.535	/g7 d4 g4 g4 d4 \/	
35452.481	35453.171		T
35453.484	35454.311		N
35454.354	35455.54		T
35455.575	35458.625	/d4 d4 g4 d4 \ \/	
35455.808	35457.981		N
