Begin Time - ss.msec	End Time - ss.msec	InfantVoc	AdultDirection
44276.199	44277.751	x	
44282.61	44284.097	x	
44286.421	44287.649	x	
44295.719	44296.011	x	
44301.103	44302.428	x	
44318.46	44318.811	x	
44347.303	44348.063	x	
44350.271	44351.804		U
44373.571	44373.857	x	
44385.095	44385.238	x	
44389.842	44390.251	x	
44391.887	44392.27	x	
44403.792	44404.259	x	
44406.68	44407.031	x	
44407.505	44407.732	x	
44409.564	44409.869	x	
44410.212	44410.991	x	
44471.401	44473.025	x	
44473.238	44474.153	x	
44475.396	44475.76	x	
44476.011	44476.375	x	
44477.356	44479.285	x	
44479.537	44480.738	x	
44482.635	44484.46	x	
44484.732	44485.18	x	
44485.367	44486.432	x	
44487.577	44488.675	x	
44489.42	44490.92	x	
