"","InfantID","FileName","code1","code2","seqcode"
"123","WW04","WW04_segment1.txt","P","X","PX"
"124","WW04","WW04_segment1.txt","X","P","XP"
"125","WW04","WW04_segment1.txt","P","P","PP"
"126","WW04","WW04_segment1.txt","P","P","PP"
"127","WW04","WW04_segment1.txt","P","P","PP"
"128","WW04","WW04_segment1.txt","P","P","PP"
"129","WW04","WW04_segment1.txt","P","P","PP"
"130","WW04","WW04_segment1.txt","P","P","PP"
"131","WW04","WW04_segment1.txt","P","P","PP"
"132","WW04","WW04_segment1.txt","P","P","PP"
"133","WW04","WW04_segment1.txt","P","P","PP"
"134","WW04","WW04_segment1.txt","P","P","PP"
"135","WW04","WW04_segment1.txt","P","P","PP"
"136","WW04","WW04_segment1.txt","P","P","PP"
"137","WW04","WW04_segment1.txt","P","P","PP"
"138","WW04","WW04_segment1.txt","P","P","PP"
"139","WW04","WW04_segment1.txt","P","P","PP"
"140","WW04","WW04_segment1.txt","P","P","PP"
"141","WW04","WW04_segment1.txt","P","P","PP"
"142","WW04","WW04_segment1.txt","P","P","PP"
"143","WW04","WW04_segment1.txt","P","P","PP"
"144","WW04","WW04_segment1.txt","P","P","PP"
"145","WW04","WW04_segment1.txt","P","P","PP"
"146","WW04","WW04_segment1.txt","P","P","PP"
"147","WW04","WW04_segment1.txt","P","P","PP"
"148","WW04","WW04_segment1.txt","P","P","PP"
"149","WW04","WW04_segment1.txt","P","P","PP"
"150","WW04","WW04_segment1.txt","P","P","PP"
"151","WW04","WW04_segment1.txt","P","P","PP"
"152","WW04","WW04_segment1.txt","P","P","PP"
"153","WW04","WW04_segment1.txt","P","P","PP"
"154","WW04","WW04_segment1.txt","P","P","PP"
"155","WW04","WW04_segment1.txt","P","X","PX"
"156","WW04","WW04_segment1.txt","X","R","XR"
"157","WW04","WW04_segment1.txt","R","P","RP"
"158","WW04","WW04_segment1.txt","P","P","PP"
"159","WW04","WW04_segment1.txt","P","P","PP"
"160","WW04","WW04_segment1.txt","P","P","PP"
"161","WW04","WW04_segment1.txt","P","P","PP"
"162","WW04","WW04_segment1.txt","P","P","PP"
"163","WW04","WW04_segment1.txt","P","P","PP"
"164","WW04","WW04_segment1.txt","P","P","PP"
"165","WW04","WW04_segment1.txt","P","P","PP"
"166","WW04","WW04_segment1.txt","P","X","PX"
"167","WW04","WW04_segment1.txt","X","X","XX"
"168","WW04","WW04_segment1.txt","X","P","XP"
"169","WW04","WW04_segment1.txt","P","P","PP"
"170","WW04","WW04_segment1.txt","P","P","PP"
"171","WW04","WW04_segment1.txt","P","X","PX"
"172","WW04","WW04_segment1.txt","X","P","XP"
"173","WW04","WW04_segment1.txt","P","P","PP"
"174","WW04","WW04_segment1.txt","P","R","PR"
"175","WW04","WW04_segment1.txt","R","P","RP"
"176","WW04","WW04_segment1.txt","P","P","PP"
"177","WW04","WW04_segment1.txt","P","P","PP"
"178","WW04","WW04_segment1.txt","P","N","PN"
"179","WW04","WW04_segment1.txt","N","N","NN"
"180","WW04","WW04_segment1.txt","N","P","NP"
"181","WW04","WW04_segment1.txt","P","N","PN"
"182","WW04","WW04_segment1.txt","N","P","NP"
"183","WW04","WW04_segment1.txt","P","U","PU"
"184","WW04","WW04_segment1.txt","U","P","UP"
"185","WW04","WW04_segment1.txt","P","C","PC"
"186","WW04","WW04_segment1.txt","C","P","CP"
"187","WW04","WW04_segment1.txt","P","P","PP"
"188","WW04","WW04_segment1.txt","P","P","PP"
"189","WW04","WW04_segment1.txt","P","P","PP"
"190","WW04","WW04_segment1.txt","P","P","PP"
"191","WW04","WW04_segment1.txt","P","P","PP"
"192","WW04","WW04_segment1.txt","P","P","PP"
"193","WW04","WW04_segment1.txt","P","P","PP"
"194","WW04","WW04_segment1.txt","P","P","PP"
"195","WW04","WW04_segment1.txt","P","P","PP"
"196","WW04","WW04_segment1.txt","P","P","PP"
"197","WW04","WW04_segment1.txt","P","X","PX"
"198","WW04","WW04_segment1.txt","X","X","XX"
"199","WW04","WW04_segment1.txt","X","X","XX"
"200","WW04","WW04_segment1.txt","X","X","XX"
"201","WW04","WW04_segment1.txt","X","X","XX"
"202","WW04","WW04_segment1.txt","X","X","XX"
"203","WW04","WW04_segment1.txt","X","P","XP"
"204","WW04","WW04_segment1.txt","P","P","PP"
"205","WW04","WW04_segment1.txt","P","C","PC"
"206","WW04","WW04_segment1.txt","C","P","CP"
"207","WW04","WW04_segment1.txt","P","P","PP"
"208","WW04","WW04_segment1.txt","P","P","PP"
"209","WW04","WW04_segment1.txt","P","P","PP"
"210","WW04","WW04_segment1.txt","P","P","PP"
"211","WW04","WW04_segment1.txt","P","P","PP"
"212","WW04","WW04_segment1.txt","P","P","PP"
"213","WW04","WW04_segment1.txt","P","P","PP"
