"","InfantID","startsec","endsec","addressee","intensity","meanf0Hz","meanf0mel","stdf0mel","stdf0Hz"
"1","WW04",4978.123,4979.045,"N",75.7342258943371,189.369011706565,148.195375680921,121.562353413096,187.188739071199
"2","WW04",4979.207,4980.921,"N",73.1480010099491,94.4494096546975,87.1135665850247,7.3981614047543,8.67499569533516
"3","WW04",4983.323,4983.771,"T",72.7079090643008,296.723536896045,232.142756529579,78.417313057857,111.281264585753
"4","WW04",4984.404,4985.092,"T",67.9295301490605,95.5334776550195,87.9883570956306,10.5257454595559,12.3846379762284
"5","WW04",4985.454,4986.006,"T",70.7958919752186,106.455474242753,97.1060791754303,15.3038324346683,18.4256376140575
"6","WW04",4987.41,4987.972,"T",67.9013883311665,142.294076004289,125.191724008602,39.0157738579991,51.8390057502935
"7","WW04",4988.439,4988.99,"T",72.1386578192069,147.369559985439,124.876342084325,76.6424219957598,110.308311334316
"8","WW04",4989.025,4990.084,"T",70.9737524205814,103.375121620445,94.5733393129899,13.1609070404909,15.6870853025981
"9","WW04",5017.288,5019.318,"U",63.7495359057105,141.023065972048,122.512144994712,53.8298011476106,84.376615159702
"10","WW04",5020.058,5021.963,"U",65.240434234385,123.93513029513,111.706469310101,8.2994223337996,10.1872198197792
"11","WW04",5033.566,5033.738,"U",68.2186669811683,85.6859937515737,79.6165280974129,4.40735074976047,5.07582889489116
"12","WW04",5165.487,5165.99,"N",69.899578342438,85.6449825629021,79.5970591584142,NA,NA
"13","WW04",5166.215,5166.683,"N",66.0671894270511,117.02192401775,106.097209212959,0.661495981992143,0.802330251322426
"14","WW04",5168.388,5169.926,"N",69.8750457480913,261.718486547984,195.990314176834,132.487557559686,239.937744766534
"15","WW04",5171.1,5172.502,"U",64.7319949784773,156.601982686739,136.449557783342,39.0535901127179,49.2344202972075
"16","WW04",5210.314,5211.332,"U",74.430622575239,189.019415419412,155.544260959025,82.1520314484067,135.275684418427
"17","WW04",5211.663,5212.385,"U",73.5794843305072,159.053907699629,132.049673321408,85.7454347252755,139.380581040817
"18","WW04",5222.082,5222.461,"U",60.7351016811173,209.949967787857,165.552845334619,117.690198656345,170.896883405378
"19","WW04",20340.956,20341.296,"T",63.8491581824274,146.692801502863,130.002934447198,6.44231821928894,8.19318192712513
"20","WW04",20342.27,20342.913,"T ",67.8169878301765,116.633676417722,105.752422591529,5.28690694392112,6.42462278641609
"21","WW04",20343.49,20344.51,"T",65.8904300485744,127.31077641024,114.236372434304,17.3555110740855,22.7382922977085
"22","WW04",20346.988,20348.153,"T",62.9588905345579,140.116219569562,124.53893075419,18.0940498586916,22.1024741237513
"23","WW04",20388.139,20390.089,"T",68.700403732881,94.161852916656,86.7991064742356,11.4746858381087,13.493972866038
"24","WW04",20400.981,20401.524,"N",67.923766389671,142.845968050081,124.146329396047,55.7837371871677,73.1113093298866
"25","WW04",20407.395,20408.274,"N",74.7510227221183,237.490599609677,195.53005562455,47.4042419240506,65.4303342638084
"26","WW04",20408.395,20410.637,"N",73.5280152931062,249.494757791003,204.898726380707,31.1611670985753,43.1568458993024
"27","WW04",20413.306,20414.002,"T",68.6919505674314,89.605598454699,83.0049810903624,3.33723419563889,3.86877109723412
"28","WW04",20420.764,20421.005,"N",65.5249398107849,94.9567670658108,87.575062029662,4.95480336816718,5.75281607502568
"29","WW04",20465.671,20466.181,"N",58.6093788400832,128.932466200083,115.690745334747,12.6782838983072,15.8759657287677
"30","WW04",20466.476,20467.188,"N",59.3721781294771,113.130620991074,102.863885829551,4.22095068187165,5.09657025303555
"31","WW04",20467.409,20467.886,"N",58.1845977785706,104.315794191884,95.4894307713908,5.83293022350562,6.93945826010334
"32","WW04",11879.669,11880.805,"T",75.8601308581569,320.895273759657,247.066151518481,77.3900662334101,137.235814117115
"33","WW04",11881.477,11887.386,"T",70.5083623441538,366.781566094721,277.381719778895,61.7429408198693,112.815730184695
"34","WW04",11887.679,11888.4,"T",67.8778094022868,333.723750467832,260.587233809098,16.4357848934921,26.4221253554234
"35","WW04",11888.516,11891.276,"N",69.9033523036505,408.962899042364,303.760332245734,47.2125190049134,81.4995376048834
"36","WW04",11891.814,11893.172,"T",65.229768346218,365.704631105186,279.734840478898,26.743720096567,44.2200402296527
"37","WW04",11894.736,11895.885,"T",70.4943571875437,251.730366005623,207.147958684728,11.6631039063977,16.9235433273996
"38","WW04",11896.749,11898.476,"T",73.660946353825,377.754036556201,283.859473894749,64.0529144324515,108.823813197777
"39","WW04",11899.628,11901.186,"N",74.8553375747686,264.928265286441,198.979310967503,133.178763498187,222.253469808392
"40","WW04",11901.585,11903.208,"T",78.008286727036,265.35450810286,208.626041318987,92.891136001733,140.751272771411
"41","WW04",11903.399,11904.124,"N",73.7003307986831,371.15289551564,279.735410621771,65.2976504747384,113.974723596152
"42","WW04",11904.389,11905.893,"T",77.4513167092005,192.140666658121,163.855121641054,31.2932543777662,46.1237906860554
"43","WW04",11905.893,11907.844,"N",75.6670517467556,449.842128665424,320.371325764275,94.7637791099744,181.907105493089
"44","WW04",11907.87,11908.179,"T",75.9303703704528,472.566028001399,340.13087326406,33.6698649766145,61.7510619563953
"45","WW04",11908.556,11909.939,"T",77.5345379324201,299.801242943915,222.61446382898,129.175862012179,233.592358328747
"46","WW04",11912.206,11915.414,"N",73.384020121116,384.961072120427,287.053856326328,69.8698210963655,134.031949657878
"47","WW04",11918.731,11920.174,"N",70.8844302003966,304.689554838473,229.760941336555,119.732549160454,180.641364879182
